Time (s),Pressure (Pa)
0.0,11000.0
0.005,11000.0
0.01,11000.0
0.015,11000.0
0.02,11000.0
0.025,11000.0
0.03,11000.0
0.035,11000.0
0.04,11000.0
0.045,10942.0
0.05,10833.0
0.055,10803.0
0.06,10880.0
0.065,10973.0
0.07,11000.0
0.075,11232.0
0.08,11800.0
0.085,11800.0
0.09,11800.0
0.095,11800.0
0.1,11800.0
0.105,11799.0
0.11,11780.0
0.115,11744.0
0.12,11732.0
0.125,11743.0
0.13,11776.0
0.135,11795.0
0.14,11800.0
0.145,11800.0
0.15,11231.0
0.155,10499.0
0.16,10499.0
0.165,10500.0
0.17,10499.0
0.175,10489.0
0.18,10483.0
0.185,10486.0
0.19,10494.0
0.195,10498.0
0.2,10500.0
0.205,10500.0
0.21,10500.0
0.215,10500.0
0.22,10500.0
0.225,10218.0
0.23,9800.1
0.235,9799.0
0.24,9790.2
0.245,9789.7
0.25,9793.2
0.255,9796.7
0.26,9800.7
0.265,9800.3
0.27,9800.0
0.275,9802.2
0.28,9799.7
0.285,9799.8
0.29,9785.2
0.295,9733.0
0.3,10275.0
0.305,9347.5
0.31,8452.8
0.315,9163.8
0.32,10452.0
0.325,10981.0
0.33,11006.0
0.335,11000.0
0.34,11000.0
0.345,11000.0
0.35,11000.0
0.355,11000.0
0.36,11000.0
0.365,10979.0
0.37,10850.0
0.375,11159.0
0.38,11499.0
0.385,11632.0
0.39,11749.0
0.395,11800.0
0.4,11800.0
0.405,11800.0
0.41,11800.0
0.415,11800.0
0.42,11800.0
0.425,11800.0
0.43,11799.0
0.435,11789.0
0.44,11782.0
0.445,11781.0
0.45,11323.0
0.455,10343.0
0.46,10490.0
0.465,10499.0
0.47,10500.0
0.475,10500.0
0.48,10500.0
0.485,10500.0
0.49,10500.0
0.495,10500.0
0.5,10499.0
0.505,10498.0
0.51,10497.0
0.515,10497.0
0.52,10409.0
0.525,10203.0
0.53,9968.6
0.535,9759.8
0.54,9768.7
0.545,9798.4
0.55,9799.2
0.555,9802.0
0.56,9800.2
0.565,9801.1
0.57,9801.7
0.575,9800.3
0.58,9800.0
0.585,9782.4
0.59,9714.4
0.595,9752.8
0.6,10382.0
0.605,9632.8
0.61,8369.4
0.615,9120.8
0.62,10403.0
0.625,10984.0
0.63,11000.0
0.635,11000.0
0.64,11000.0
0.645,11000.0
0.65,11000.0
0.655,11000.0
0.66,11000.0
0.665,10996.0
0.67,10926.0
0.675,11170.0
0.68,11561.0
0.685,11656.0
0.69,11758.0
0.695,11800.0
0.7,11800.0
0.705,11800.0
0.71,11800.0
0.715,11800.0
0.72,11800.0
0.725,11800.0
0.73,11799.0
0.735,11796.0
0.74,11792.0
0.745,11791.0
0.75,11785.0
0.755,11778.0
0.76,11782.0
0.765,11794.0
0.77,11799.0
0.775,11108.0
0.78,10500.0
0.785,10500.0
0.79,10500.0
0.795,10496.0
0.8,10492.0
0.805,10493.0
0.81,10497.0
0.815,10500.0
0.82,10500.0
0.825,10498.0
0.83,10485.0
0.835,10474.0
0.84,10482.0
0.845,10497.0
0.85,10142.0
0.855,9798.4
0.86,9800.2
0.865,9800.4
0.87,9800.6
0.875,9801.4
0.88,9799.7
0.885,9799.3
0.89,9800.7
0.895,9801.6
0.9,10210.0
0.905,9430.4
0.91,8714.2
0.915,9518.3
0.92,10571.0
0.925,10964.0
0.93,11000.0
0.935,11000.0
0.94,11000.0
0.945,11000.0
0.95,11001.0
0.955,11000.0
0.96,11000.0
0.965,10994.0
0.97,10955.0
0.975,10792.0
0.98,10644.0
0.985,10691.0
0.99,10833.0
0.995,10946.0
1.0,10998.0
