time_s,velocity_cm_s
0.0000,9.8572E-4
0.0050000,10.155
0.010000,19.446
0.015000,25.704
0.020000,29.726
0.025000,30.627
0.030000,26.232
0.035000,18.301
0.040000,5.8754
0.045000,11.187
0.050000,24.939
0.055000,28.096
0.060000,19.668
0.065000,5.9726
0.070000,5.1692
0.075000,9.2772
0.080000,6.5346
0.085000,11.722
0.090000,19.823
0.095000,21.882
0.10000,16.068
0.10500,5.2129
0.11000,4.7136
0.11500,10.810
0.12000,12.784
0.12500,11.029
0.13000,5.1924
0.13500,1.6595
0.14000,7.6905
0.14500,12.321
0.15000,14.902
0.15500,14.529
0.16000,10.597
0.16500,5.3449
0.17000,0.92336
0.17500,2.6773
0.18000,3.8098
0.18500,3.2816
0.19000,1.3687
0.19500,1.5717
0.20000,4.3111
0.20500,6.5280
0.21000,7.8419
0.21500,8.1272
0.22000,7.3806
0.22500,5.4321
0.23000,2.4022
0.23500,0.64734
0.24000,2.2681
0.24500,2.3578
0.25000,1.9558
0.25500,1.0799
0.26000,6.4406
0.26500,22.508
0.27000,41.571
0.27500,51.187
0.28000,43.180
0.28500,21.164
0.29000,2.7036
0.29500,12.629
0.30000,20.978
0.30500,106.23
0.31000,135.80
0.31500,113.42
0.32000,55.417
0.32500,4.2794
0.33000,29.469
0.33500,32.242
0.34000,29.730
0.34500,36.724
0.35000,47.065
0.35500,47.305
0.36000,31.556
0.36500,11.314
0.37000,25.066
0.37500,38.279
0.38000,36.949
0.38500,24.949
0.39000,10.422
0.39500,3.3724
0.40000,10.010
0.40500,15.361
0.41000,17.887
0.41500,17.711
0.42000,15.063
0.42500,10.776
0.43000,7.3116
0.43500,6.9143
0.44000,7.7708
0.44500,7.8388
0.45000,7.0519
0.45500,6.3410
0.46000,6.5040
0.46500,6.5960
0.47000,6.7593
0.47500,7.1833
0.48000,7.7683
0.48500,8.2297
0.49000,8.3026
0.49500,7.9252
0.50000,7.2524
0.50500,6.5216
0.51000,5.9126
0.51500,5.5631
0.52000,5.3853
0.52500,5.2803
0.53000,5.2001
0.53500,5.1398
0.54000,5.0304
0.54500,4.9413
0.55000,4.9714
0.55500,7.7138
0.56000,19.314
0.56500,36.873
0.57000,49.211
0.57500,43.783
0.58000,22.390
0.58500,4.3535
0.59000,15.548
0.59500,10.006
0.60000,5.7684
0.60500,95.065
0.61000,139.05
0.61500,117.32
0.62000,58.396
0.62500,4.3839
0.63000,31.890
0.63500,33.033
0.64000,29.289
0.64500,33.632
0.65000,38.926
0.65500,36.780
0.66000,25.098
0.66500,9.1767
0.67000,15.489
0.67500,26.290
0.68000,31.494
0.68500,22.967
0.69000,8.6500
0.69500,5.0516
0.70000,10.913
0.70500,12.347
0.71000,13.878
0.71500,14.552
0.72000,13.483
0.72500,10.637
0.73000,7.5763
0.73500,5.8766
0.74000,5.7460
0.74500,5.8582
0.75000,6.2977
0.75500,7.2035
0.76000,6.7161
0.76500,5.6415
0.77000,5.6903
0.77500,8.5482
0.78000,14.302
0.78500,13.148
0.79000,8.4404
0.79500,4.9186
0.80000,4.7714
0.80500,4.7663
0.81000,4.5366
0.81500,4.8448
0.82000,5.2170
0.82500,4.2987
0.83000,5.5672
0.83500,6.8830
0.84000,5.8811
0.84500,3.9378
0.85000,6.8833
0.85500,10.399
0.86000,15.930
0.86500,25.951
0.87000,37.639
0.87500,40.150
0.88000,32.138
0.88500,19.196
0.89000,8.8333
0.89500,3.8485
0.90000,13.007
0.90500,102.80
0.91000,128.51
0.91500,100.27
0.92000,47.106
0.92500,5.0607
0.93000,20.101
0.93500,26.640
0.94000,31.323
0.94500,42.346
0.95000,53.956
0.95500,57.290
0.96000,48.220
0.96500,28.294
0.97000,12.239
0.97500,31.225
0.98000,42.597
0.98500,38.318
0.99000,25.306
0.99500,10.906
1.0000,3.0529
