time_s,von_mises_stress_N_per_m
0.0,0.9269
0.005,1495.0
0.01,4276.2
0.015,9517.6
0.02,17309.0
0.025,25848.0
0.03,31904.0
0.035,35248.0
0.04,36452.0
0.045,34825.0
0.05,30523.0
0.055,25788.0
0.06,23468.0
0.065,22445.0
0.07,24128.0
0.075,28300.0
0.08,31996.0
0.085,35518.0
0.09,38652.0
0.095,40866.0
0.1,42120.0
0.105,42529.0
0.11,42145.0
0.115,41212.0
0.12,40160.0
0.125,39335.0
0.13,39158.0
0.135,39476.0
0.14,40182.0
0.145,41167.0
0.15,42253.0
0.155,43199.0
0.16,43841.0
0.165,44142.0
0.17,44164.0
0.175,44033.0
0.18,43847.0
0.185,43705.0
0.19,43669.0
0.195,43781.0
0.2,44048.0
0.205,44448.0
0.21,44951.0
0.215,45524.0
0.22,46151.0
0.225,46750.0
0.23,47147.0
0.235,47341.0
0.24,47344.0
0.245,47233.0
0.25,47068.0
0.255,46914.0
0.26,46569.0
0.265,47062.0
0.27,49825.0
0.275,55176.0
0.28,60772.0
0.285,63394.0
0.29,61363.0
0.295,56625.0
0.3,53416.0
0.305,43301.0
0.31,26839.0
0.315,16592.0
0.32,17431.0
0.325,28014.0
0.33,32722.0
0.335,30706.0
0.34,24097.0
0.345,22116.0
0.35,26685.0
0.355,31398.0
0.36,35016.0
0.365,38216.0
0.37,39965.0
0.375,39589.0
0.38,37833.0
0.385,36324.0
0.39,35411.0
0.395,35291.0
0.4,35926.0
0.405,37046.0
0.41,38506.0
0.415,40073.0
0.42,41601.0
0.425,42921.0
0.43,43786.0
0.435,44090.0
0.44,43892.0
0.445,43350.0
0.45,42672.0
0.455,42029.0
0.46,41606.0
0.465,41503.0
0.47,41722.0
0.475,42226.0
0.48,42931.0
0.485,43717.0
0.49,44465.0
0.495,45076.0
0.5,45500.0
0.505,45745.0
0.51,45863.0
0.515,45923.0
0.52,45988.0
0.525,46073.0
0.53,46182.0
0.535,46319.0
0.54,46497.0
0.545,46704.0
0.55,46935.0
0.555,47072.0
0.56,47516.0
0.565,49706.0
0.57,54603.0
0.575,60408.0
0.58,63423.0
0.585,61448.0
0.59,56005.0
0.595,52567.0
0.6,52453.0
0.605,44660.0
0.61,27191.0
0.615,16861.0
0.62,18570.0
0.625,26332.0
0.63,29301.0
0.635,26574.0
0.64,22101.0
0.645,21226.0
0.65,25277.0
0.655,29620.0
0.66,33093.0
0.665,36364.0
0.67,38578.0
0.675,38964.0
0.68,37645.0
0.685,36084.0
0.69,34978.0
0.695,34631.0
0.7,35176.0
0.705,36485.0
0.71,38143.0
0.715,39891.0
0.72,41512.0
0.725,42737.0
0.73,43429.0
0.735,43592.0
0.74,43373.0
0.745,43034.0
0.75,42659.0
0.755,42209.0
0.76,41936.0
0.765,41985.0
0.77,42364.0
0.775,42894.0
0.78,43744.0
0.785,44554.0
0.79,44947.0
0.795,44892.0
0.8,44767.0
0.805,44793.0
0.81,45061.0
0.815,45570.0
0.82,46221.0
0.825,46679.0
0.83,46547.0
0.835,45928.0
0.84,45233.0
0.845,44819.0
0.85,44976.0
0.855,45789.0
0.86,46685.0
0.865,48347.0
0.87,51507.0
0.875,55775.0
0.88,59108.0
0.885,59454.0
0.89,58635.0
0.895,57513.0
0.9,56340.0
0.905,44263.0
0.91,26329.0
0.915,14798.0
0.92,11931.0
0.925,19317.0
0.93,24521.0
0.935,23906.0
0.94,20590.0
0.945,19742.0
0.95,23349.0
0.955,30068.0
0.96,37317.0
0.965,43298.0
0.97,46666.0
0.975,46443.0
0.98,42219.0
0.985,37499.0
0.99,34060.0
0.995,32120.0
1.0,31438.0
