Time_s,Mitral_Total_Stress_X_N_per_m
0.0,-0.76339
0.005,0.82223
0.01,1.5223
0.015,1.4255
0.02,0.68002
0.025,-0.42215
0.03,-0.81281
0.035,-1.3236
0.04,-1.8517
0.045,-2.4055
0.05,-1.9478
0.055,0.57553
0.06,2.7534
0.065,2.4171
0.07,0.93221
0.075,-0.6661
0.08,-0.9353
0.085,0.48248
0.09,0.81244
0.095,0.17782
0.1,-0.67622
0.105,-1.1694
0.11,-0.67242
0.115,-0.17979
0.12,0.10843
0.125,0.2872
0.13,0.39357
0.135,0.45143
0.14,0.44973
0.145,0.38625
0.15,0.30978
0.155,0.050285
0.16,-0.38088
0.165,-0.56181
0.17,-0.50417
0.175,-0.31084
0.18,-0.067882
0.185,0.11619
0.19,0.21243
0.195,0.23287
0.2,0.19021
0.205,0.1195
0.21,0.046781
0.215,-0.0068892
0.22,-0.084868
0.225,-0.20684
0.23,-0.32164
0.235,-0.28961
0.24,-0.19917
0.245,-0.10615
0.25,-0.023333
0.255,0.038529
0.26,1.6985
0.265,2.8378
0.27,3.1318
0.275,1.1829
0.28,-2.0969
0.285,-4.5803
0.29,-4.1554
0.295,-1.4047
0.3,-5.8757
0.305,-6.6867
0.31,5.7072
0.315,11.206
0.32,9.3368
0.325,4.4439
0.33,-0.090458
0.335,-3.2463
0.34,-2.0256
0.345,1.0565
0.35,3.2573
0.355,2.6518
0.36,-0.24456
0.365,-2.9089
0.37,-2.9944
0.375,-2.2239
0.38,-0.62062
0.385,0.7589
0.39,1.1621
0.395,1.0142
0.4,0.68736
0.405,0.62434
0.41,0.42063
0.415,0.077462
0.42,-0.2867
0.425,-0.56103
0.43,-0.70683
0.435,-0.6406
0.44,-0.41606
0.445,-0.11093
0.45,0.23531
0.455,0.44991
0.46,0.13492
0.465,-0.0077718
0.47,0.0083604
0.475,0.08358
0.48,0.12384
0.485,0.092277
0.49,0.009184
0.495,-0.084436
0.5,-0.15081
0.505,-0.17147
0.51,-0.14906
0.515,-0.10052
0.52,-0.057246
0.525,-0.027514
0.53,-0.032482
0.535,-0.04441
0.54,-0.011067
0.545,0.013385
0.55,0.044651
0.555,0.95792
0.56,2.4586
0.565,3.2002
0.57,1.6921
0.575,-1.6828
0.58,-4.6208
0.585,-4.4015
0.59,-0.24946
0.595,3.5957
0.6,-5.8632
0.605,-9.3208
0.61,3.04
0.615,10.143
0.62,9.8946
0.625,5.4971
0.63,0.23393
0.635,-2.8437
0.64,-1.9908
0.645,0.49803
0.65,2.0133
0.655,1.6697
0.66,0.010979
0.665,-1.74
0.67,-2.1323
0.675,-1.9569
0.68,-0.90914
0.685,0.78781
0.69,1.4012
0.695,1.3105
0.7,0.42815
0.705,0.11404
0.71,0.38374
0.715,0.27574
0.72,0.0030052
0.725,-0.32509
0.73,-0.51403
0.735,-0.51406
0.74,-0.35689
0.745,-0.13547
0.75,-0.34361
0.755,-0.28619
0.76,0.18889
0.765,0.38857
0.77,0.30987
0.775,0.88572
0.78,0.55508
0.785,-0.43527
0.79,-0.86432
0.795,-0.62518
0.8,-0.12713
0.805,0.29469
0.81,0.40306
0.815,0.25571
0.82,-0.072165
0.825,-0.73418
0.83,-0.96344
0.835,-0.30574
0.84,0.39931
0.845,0.77323
0.85,0.84601
0.855,0.44418
0.86,1.1953
0.865,1.8229
0.87,1.9544
0.875,0.57679
0.88,-1.2148
0.885,-1.9414
0.89,-1.6177
0.895,-0.74239
0.9,-8.778
0.905,-8.2632
0.91,4.994
0.915,10.92
0.92,8.6555
0.925,4.0404
0.93,0.029159
0.935,-1.7948
0.94,-0.94189
0.945,1.4879
0.95,3.0004
0.955,2.7685
0.96,0.63819
0.965,-1.8661
0.97,-3.7692
0.975,-3.5553
0.98,-1.6516
0.985,0.24057
0.99,1.131
0.995,1.2264
1.0,0.82597
