Time_s,Pressure_Pa
0.0,3999.8
0.005,3367.7
0.01,2421.7
0.015,1875.0
0.02,1877.4
0.025,2304.3
0.03,3008.0
0.035,3720.6
0.04,4016.3
0.045,4000.4
0.05,4000.3
0.055,4000.0
0.06,3999.9
0.065,3997.9
0.07,3781.5
0.075,3542.4
0.08,3783.6
0.085,3872.1
0.09,4214.3
0.095,4522.9
0.1,4708.7
0.105,4788.8
0.11,4800.0
0.115,4800.0
0.12,4800.0
0.125,4800.0
0.13,4799.9
0.135,4784.5
0.14,4751.7
0.145,4717.0
0.15,4148.7
0.155,3450.7
0.16,3474.8
0.165,3491.7
0.17,3499.2
0.175,3500.0
0.18,3500.0
0.185,3500.0
0.19,3499.9
0.195,3498.6
0.2,3488.3
0.205,3474.4
0.21,3462.4
0.215,3456.2
0.22,3457.7
0.225,3185.7
0.23,2779.9
0.235,2793.0
0.24,2799.2
0.245,2800.0
0.25,2800.0
0.255,2800.0
0.26,2799.7
0.265,2800.5
0.27,2799.1
0.275,2805.4
0.28,2800.1
0.285,2799.8
0.29,2800.3
0.295,2798.8
0.3,3400.0
0.305,4000.2
0.31,4000.3
0.315,4000.2
0.32,3998.7
0.325,3999.6
0.33,3950.8
0.335,3602.8
0.34,3189.4
0.345,2996.5
0.35,3097.7
0.355,3336.0
0.36,3580.3
0.365,3763.7
0.37,3895.9
0.375,4437.4
0.38,4788.6
0.385,4800.2
0.39,4800.1
0.395,4796.5
0.4,4741.6
0.405,4675.7
0.41,4638.3
0.415,4633.8
0.42,4661.6
0.425,4713.7
0.43,4767.9
0.435,4797.0
0.44,4803.4
0.445,4800.4
0.45,4335.7
0.455,3348.7
0.46,3497.8
0.465,3499.4
0.47,3490.4
0.475,3462.8
0.48,3445.9
0.485,3443.7
0.49,3452.7
0.495,3467.2
0.5,3481.5
0.505,3492.4
0.51,3498.7
0.515,3500.2
0.52,3412.8
0.525,3205.9
0.53,2969.0
0.535,2755.8
0.54,2760.8
0.545,2788.2
0.55,2789.3
0.555,2807.7
0.56,2798.5
0.565,2801.3
0.57,2803.7
0.575,2801.8
0.58,2800.3
0.585,2801.0
0.59,2800.3
0.595,2800.0
0.6,3399.9
0.605,4000.1
0.61,4000.2
0.615,4000.2
0.62,3999.9
0.625,3999.2
0.63,3990.0
0.635,3753.9
0.64,3377.2
0.645,3161.1
0.65,3153.3
0.655,3304.4
0.66,3513.5
0.665,3709.3
0.67,3864.1
0.675,4299.8
0.68,4802.1
0.685,4800.2
0.69,4800.0
0.695,4800.0
0.7,4748.1
0.705,4641.0
0.71,4568.7
0.715,4587.3
0.72,4647.3
0.725,4717.6
0.73,4772.3
0.735,4798.0
0.74,4800.2
0.745,4800.2
0.75,4800.2
0.755,4800.1
0.76,4800.1
0.765,4795.5
0.77,4785.4
0.775,4091.3
0.78,3500.1
0.785,3500.1
0.79,3494.6
0.795,3485.1
0.8,3480.9
0.805,3482.5
0.81,3487.6
0.815,3493.0
0.82,3495.6
0.825,3496.0
0.83,3497.8
0.835,3500.6
0.84,3500.3
0.845,3500.2
0.85,3142.8
0.855,2795.9
0.86,2800.7
0.865,2800.5
0.87,2800.7
0.875,2801.2
0.88,2800.7
0.885,2800.3
0.89,2800.2
0.895,2800.2
0.9,3280.4
0.905,4000.4
0.91,4000.6
0.915,4000.4
0.92,3999.9
0.925,3997.3
0.93,3997.7
0.935,3816.4
0.94,3479.0
0.945,3266.6
0.95,3313.4
0.955,3485.2
0.96,3691.9
0.965,3857.8
0.97,3965.6
0.975,4003.9
0.98,4000.2
0.985,4000.3
0.99,4000.4
0.995,4000.2
1.0,4000.2
