Time (s),Velocity magnitude (cm/s)
0.0,0.037052
0.005,60.1
0.01,103.98
0.015,123.12
0.02,123.06
0.025,108.23
0.03,79.025
0.035,35.463
0.04,11.117
0.045,42.136
0.05,50.168
0.055,42.043
0.06,26.344
0.065,3.5927
0.07,29.998
0.075,63.27
0.08,80.276
0.085,76.018
0.09,57.278
0.095,34.96
0.1,15.47
0.105,2.1418
0.11,11.523
0.115,19.393
0.12,21.078
0.125,17.086
0.13,7.9452
0.135,2.4825
0.14,9.4632
0.145,14.77
0.15,14.572
0.155,9.6962
0.16,5.6198
0.165,2.6315
0.17,1.8046
0.175,3.1006
0.18,3.8397
0.185,3.7143
0.19,2.6549
0.195,1.6428
0.2,3.2782
0.205,5.7701
0.21,7.8524
0.215,9.0038
0.22,8.7317
0.225,7.0719
0.23,4.8085
0.235,2.3786
0.24,1.7693
0.245,3.0937
0.25,3.7621
0.255,3.3609
0.26,8.5289
0.265,24.447
0.27,48.021
0.275,67.899
0.28,72.49
0.285,60.915
0.29,41.659
0.295,25.111
0.3,15.777
0.305,31.538
0.31,43.988
0.315,50.838
0.32,43.645
0.325,23.175
0.33,9.9343
0.335,44.735
0.34,69.675
0.345,79.195
0.35,74.909
0.355,61.981
0.36,46.368
0.365,31.664
0.37,17.595
0.375,5.0703
0.38,4.4177
0.385,9.3075
0.39,7.8008
0.395,1.691
0.4,11.116
0.405,20.059
0.41,24.295
0.415,24.789
0.42,21.6
0.425,15.14
0.43,6.8459
0.435,1.8506
0.44,8.4889
0.445,12.399
0.45,14.464
0.455,16.093
0.46,12.107
0.465,4.9669
0.47,2.6998
0.475,8.0707
0.48,10.569
0.485,10.892
0.49,9.4146
0.495,6.9525
0.5,4.299
0.505,2.1418
0.51,1.0798
0.515,1.0773
0.52,1.1028
0.525,1.0299
0.53,1.4654
0.535,2.2485
0.54,2.7846
0.545,3.0181
0.55,2.7785
0.555,2.5768
0.56,18.261
0.565,43.674
0.57,68.742
0.575,77.781
0.58,68.265
0.585,47.723
0.59,28.852
0.595,16.87
0.6,6.944
0.605,19.862
0.61,30.907
0.615,42.106
0.62,44.473
0.625,31.028
0.63,5.2456
0.635,32.619
0.64,59.544
0.645,71.58
0.65,71.96
0.655,63.77
0.66,51.027
0.665,36.472
0.67,21.446
0.675,8.1567
0.68,1.7285
0.685,8.2183
0.69,9.5599
0.695,3.3664
0.7,10.105
0.705,23.901
0.71,31.109
0.715,29.444
0.72,23.303
0.725,14.571
0.73,5.9464
0.735,1.8475
0.74,5.7644
0.745,6.6551
0.75,5.5702
0.755,3.8498
0.76,1.8158
0.765,1.7964
0.77,3.6912
0.775,3.9755
0.78,1.6124
0.785,1.6378
0.79,2.0813
0.795,3.7979
0.8,4.592
0.805,4.3127
0.81,3.3387
0.815,2.3595
0.82,1.9232
0.825,1.8386
0.83,1.6104
0.835,1.5488
0.84,2.7803
0.845,4.0863
0.85,3.2883
0.855,1.6072
0.86,2.4346
0.865,15.588
0.87,38.951
0.875,57.074
0.88,62.973
0.885,55.788
0.89,44.695
0.895,32.746
0.9,22.008
0.905,42.38
0.91,64.498
0.915,78.663
0.92,73.996
0.925,50.383
0.93,14.585
0.935,25.448
0.94,53.192
0.945,65.899
0.95,63.281
0.955,52.862
0.96,37.929
0.965,21.907
0.97,7.6473
0.975,4.8795
0.98,15.017
0.985,23.875
0.99,28.679
0.995,27.909
1.0,21.44
