time_s,von_mises_stress_N_per_m
0.0,0.20536
0.005,4667.5
0.01,13361.0
0.015,24815.0
0.02,37240.0
0.025,49788.0
0.03,60057.0
0.035,66573.0
0.04,67648.0
0.045,64494.0
0.05,60261.0
0.055,56274.0
0.06,53425.0
0.065,51436.0
0.07,51536.0
0.075,56325.0
0.08,65844.0
0.085,75914.0
0.09,83842.0
0.095,88580.0
0.1,90823.0
0.105,91400.0
0.11,90830.0
0.115,88966.0
0.12,86356.0
0.125,83968.0
0.13,82938.0
0.135,83047.0
0.14,84076.0
0.145,85710.0
0.15,87270.0
0.155,88198.0
0.16,88683.0
0.165,88841.0
0.17,88740.0
0.175,88459.0
0.18,88043.0
0.185,87601.0
0.19,87221.0
0.195,87026.0
0.2,87115.0
0.205,87539.0
0.21,88272.0
0.215,89215.0
0.22,90236.0
0.225,91065.0
0.23,91586.0
0.235,91791.0
0.24,91662.0
0.245,91329.0
0.25,90903.0
0.255,90509.0
0.26,90001.0
0.265,87498.0
0.27,81548.0
0.275,72524.0
0.28,63171.0
0.285,56696.0
0.29,54676.0
0.295,55716.0
0.3,56785.0
0.305,55440.0
0.31,48901.0
0.315,40647.0
0.32,35117.0
0.325,35148.0
0.33,34548.0
0.335,34348.0
0.34,38662.0
0.345,49233.0
0.35,60731.0
0.355,68823.0
0.36,73119.0
0.365,75223.0
0.37,76688.0
0.375,77954.0
0.38,78644.0
0.385,78440.0
0.39,77920.0
0.395,77947.0
0.4,79079.0
0.405,81232.0
0.41,83900.0
0.415,86528.0
0.42,88849.0
0.425,90626.0
0.43,91619.0
0.435,91748.0
0.44,91108.0
0.445,89917.0
0.45,88306.0
0.455,86350.0
0.46,84742.0
0.465,84047.0
0.47,84288.0
0.475,85179.0
0.48,86378.0
0.485,87592.0
0.49,88616.0
0.495,89350.0
0.5,89779.0
0.505,89951.0
0.51,89947.0
0.515,89860.0
0.52,89796.0
0.525,89780.0
0.53,89865.0
0.535,90032.0
0.54,90272.0
0.545,90539.0
0.55,90806.0
0.555,90798.0
0.56,89186.0
0.565,84170.0
0.57,75237.0
0.575,64958.0
0.58,57193.0
0.585,54169.0
0.59,55016.0
0.595,56212.0
0.6,55271.0
0.605,51864.0
0.61,46354.0
0.615,40852.0
0.62,37318.0
0.625,35636.0
0.63,32813.0
0.635,31911.0
0.64,36416.0
0.645,46370.0
0.65,56697.0
0.655,64521.0
0.66,69637.0
0.665,72825.0
0.67,74916.0
0.675,76310.0
0.68,77456.0
0.685,77637.0
0.69,76959.0
0.695,76353.0
0.7,77032.0
0.705,79511.0
0.71,83121.0
0.715,86464.0
0.72,89046.0
0.725,90535.0
0.73,91081.0
0.735,90875.0
0.74,90182.0
0.745,89349.0
0.75,88718.0
0.755,88384.0
0.76,88281.0
0.765,88336.0
0.77,88634.0
0.775,88918.0
0.78,88372.0
0.785,87733.0
0.79,87629.0
0.795,88148.0
0.8,88888.0
0.805,89533.0
0.81,89862.0
0.815,89882.0
0.82,89735.0
0.825,89669.0
0.83,89860.0
0.835,90184.0
0.84,90366.0
0.845,90164.0
0.85,89586.0
0.855,89097.0
0.86,88728.0
0.865,86725.0
0.87,81269.0
0.875,73206.0
0.88,65468.0
0.885,60473.0
0.89,57390.0
0.895,55587.0
0.9,54497.0
0.905,53026.0
0.91,47428.0
0.915,37679.0
0.92,26575.0
0.925,20418.0
0.93,19774.0
0.935,19716.0
0.94,21118.0
0.945,29220.0
0.95,39225.0
0.955,47026.0
0.96,51729.0
0.965,53441.0
0.97,52976.0
0.975,51433.0
0.98,49435.0
0.985,46928.0
0.99,43864.0
0.995,40767.0
1.0,38427.0
