Time_s,Tricuspid_Total_Stress_X_N_per_m
0.0,2.1179
0.005,0.6659
0.01,-0.65576
0.015,-2.07
0.02,-2.381
0.025,-1.8562
0.03,-1.6138
0.035,-2.4887
0.04,-3.3462
0.045,-2.8612
0.05,-1.0833
0.055,0.040017
0.06,0.26559
0.065,0.49382
0.07,0.84295
0.075,0.52339
0.08,-0.83282
0.085,-1.5851
0.09,-1.4268
0.095,-1.2462
0.1,-1.0479
0.105,-0.91979
0.11,-0.86054
0.115,-0.70321
0.12,-0.44399
0.125,-0.17418
0.13,-0.0056558
0.135,0.080684
0.14,0.10459
0.145,0.088171
0.15,0.0029313
0.155,-0.069168
0.16,-0.040454
0.165,-0.016174
0.17,0.0042887
0.175,0.021846
0.18,0.036289
0.185,0.046684
0.19,0.057655
0.195,0.064835
0.2,0.068763
0.205,0.067422
0.21,0.059287
0.215,0.047719
0.22,0.01806
0.225,0.0044667
0.23,-0.01121
0.235,-0.026813
0.24,-0.030183
0.245,-0.023328
0.25,-0.0081622
0.255,0.011999
0.26,-0.25675
0.265,-0.467
0.27,-0.79241
0.275,-0.86141
0.28,-0.5982
0.285,-0.14501
0.29,0.10903
0.295,0.13681
0.3,0.14377
0.305,-0.13204
0.31,-0.07623
0.315,-0.0446
0.32,0.05406
0.325,0.21816
0.33,0.36368
0.335,0.28483
0.34,-0.22217
0.345,-0.63866
0.35,-0.74305
0.355,-0.71476
0.36,-0.62916
0.365,-0.57772
0.37,-0.63526
0.375,-0.70644
0.38,-0.79423
0.385,-0.80106
0.39,-0.5628
0.395,-0.22624
0.4,0.039542
0.405,0.099478
0.41,0.056575
0.415,-0.0093718
0.42,-0.082104
0.425,-0.14816
0.43,-0.19615
0.435,-0.21706
0.44,-0.1956
0.445,-0.12293
0.45,-0.073107
0.455,-0.070475
0.46,0.087986
0.465,0.14887
0.47,0.163
0.475,0.13168
0.48,0.081007
0.485,0.031693
0.49,-0.0082907
0.495,-0.031053
0.5,-0.037137
0.505,-0.030454
0.51,-0.01619
0.515,0.00091258
0.52,0.017211
0.525,0.031793
0.53,0.037794
0.535,0.036626
0.54,0.026623
0.545,0.015209
0.55,-0.00017396
0.555,-0.17623
0.56,-0.47104
0.565,-0.77263
0.57,-0.87557
0.575,-0.65073
0.58,-0.19691
0.585,0.11246
0.59,0.14622
0.595,0.22028
0.6,0.21018
0.605,-0.019857
0.61,-0.096688
0.615,-0.19782
0.62,-0.16079
0.625,0.032509
0.63,0.32929
0.635,0.41819
0.64,0.079514
0.645,-0.40333
0.65,-0.65149
0.655,-0.69802
0.66,-0.66406
0.665,-0.63983
0.67,-0.69159
0.675,-0.73021
0.68,-0.77862
0.685,-0.79239
0.69,-0.56097
0.695,-0.25228
0.7,0.14903
0.705,0.2102
0.71,0.072487
0.715,-0.057925
0.72,-0.15061
0.725,-0.20606
0.73,-0.22374
0.735,-0.2003
0.74,-0.13969
0.745,-0.058553
0.75,0.0072331
0.755,0.037794
0.76,0.050751
0.765,0.054035
0.77,0.048074
0.775,-0.06698
0.78,-0.064874
0.785,0.016381
0.79,0.057768
0.795,0.058442
0.8,0.041603
0.805,0.020422
0.81,0.0026719
0.815,-0.0051082
0.82,-0.0048316
0.825,-0.00019225
0.83,-0.010168
0.835,-0.026912
0.84,-0.028792
0.845,-0.0054728
0.85,0.040491
0.855,0.090513
0.86,-0.14991
0.865,-0.37647
0.87,-0.61638
0.875,-0.63769
0.88,-0.45761
0.885,-0.1841
0.89,0.018139
0.895,0.13029
0.9,0.10233
0.905,-0.36577
0.91,-0.47585
0.915,-0.42825
0.92,-0.18717
0.925,0.19832
0.93,0.51616
0.935,0.40959
0.94,-0.16676
0.945,-0.62616
0.95,-0.67474
0.955,-0.65758
0.96,-0.62976
0.965,-0.70505
0.97,-0.72907
0.975,-0.73741
0.98,-0.73889
0.985,-0.66268
0.99,-0.42429
0.995,-0.14781
1.0,0.065226
