time_s,probe_1_m2_s,probe_2_m2_s
0.0,2.956e-07,9.2635e-06
7.4257e-05,1.6194e-05,0.00032299
0.00014851,3.7405e-05,0.00061682
0.00029703,0.00010793,0.0011671
0.00044554,0.00022369,0.0016684
0.00074257,0.00053068,0.0026061
0.0010396,0.00085207,0.0035067
0.0013366,0.0011169,0.0044174
0.0019307,0.0015315,0.0062407
0.0025247,0.0019433,0.0079831
0.0031188,0.0024393,0.0096387
0.0037128,0.0029963,0.011245
0.004901,0.0041325,0.014358
0.0060891,0.0052792,0.017234
0.0072772,0.0064327,0.019815
0.0084653,0.0075781,0.022072
0.0096534,0.008698,0.024011
0.009658,0.0086893,0.023992
0.0096673,0.0086964,0.024006
0.0096859,0.0087128,0.024033
0.0097044,0.0087306,0.024061
0.0097416,0.0087655,0.024116
0.0097787,0.0088,0.024172
0.009853,0.0088691,0.024282
0.010001,0.0090059,0.0245
0.01015,0.0091408,0.024711
0.010447,0.0094097,0.025121
0.011041,0.0099144,0.025875
0.011635,0.010358,0.026554
0.012823,0.01096,0.027595
0.014011,0.011292,0.028321
0.016388,0.011337,0.028758
0.018764,0.011018,0.028312
0.02114,0.010477,0.027055
0.025892,0.0089687,0.021929
0.030645,0.0072505,0.014936
0.035397,0.0053277,0.0072624
0.04015,0.0032671,0.0006135
0.044427,0.0014665,0.0045486
0.048704,0.00030095,0.0073976
0.052981,0.0011133,0.0082748
0.056831,0.0013309,0.0076988
0.06068,0.00094553,0.0060738
0.06453,0.00021558,0.0037633
0.068379,0.0013551,0.0011342
0.072229,0.0028586,0.001581
0.076078,0.0027183,0.0046663
0.079928,0.0025865,0.0070532
0.080144,0.0026256,0.0071692
0.080577,0.0026191,0.0073782
0.08101,0.0026238,0.0075758
0.081443,0.0026464,0.007754
0.081877,0.0026857,0.0079105
0.082743,0.002825,0.0081229
0.084475,0.0032936,0.0082351
0.086207,0.003918,0.0080519
0.089672,0.005277,0.006813
0.093136,0.0062563,0.0050408
0.096601,0.0065975,0.0031154
0.10007,0.0062424,0.0013498
0.10353,0.0053202,0.00046063
0.10699,0.0037106,0.0014713
0.11046,0.0018394,0.0021508
0.11133,0.0013989,0.0022827
0.11306,0.00053352,0.0024582
0.11479,0.00056131,0.0025379
0.11825,0.0016829,0.0024
0.12098,0.0021008,0.0021357
0.1237,0.002046,0.0017367
0.12643,0.0015541,0.0012035
0.13188,0.00035937,0.00051844
0.13678,0.0017595,0.0015939
0.14169,0.0029525,0.0027491
0.14659,0.0036328,0.0036136
0.14937,0.0038758,0.003888
0.15215,0.004206,0.0030621
0.15466,0.0041358,0.0024138
0.15716,0.0037473,0.00184
0.15966,0.0031128,0.001357
0.16467,0.0015209,0.00062594
0.16968,0.00034755,0.00054872
0.17469,0.0014656,0.00096631
0.17919,0.0018315,0.0013242
0.1837,0.0014832,0.0015737
0.1882,0.00064108,0.0016139
0.19271,0.00064664,0.0013605
0.19721,0.0015872,0.00081682
0.20172,0.0021768,0.00050654
0.20623,0.0023262,0.0013401
0.21073,0.002062,0.0021488
0.21524,0.0018039,0.0026419
0.21974,0.0016442,0.0028066
0.22425,0.0015601,0.0027752
0.22875,0.0013251,0.0025899
0.23326,0.0010919,0.0022123
0.23777,0.00089777,0.0016878
0.24227,0.00074405,0.0011188
0.24678,0.00062785,0.00061889
0.24956,0.00056338,0.00040336
0.25235,0.00049569,0.0003729
0.25513,0.0004244,0.00047567
0.25653,0.00035015,0.000521
0.25792,0.00027894,0.00052718
0.25931,0.00066112,0.00047982
0.26071,0.0013455,0.00039498
0.2621,0.0022286,0.00035259
0.26349,0.0032625,0.00051866
0.26443,0.0040308,0.00070245
0.26537,0.0048834,0.00092604
0.2663,0.0058315,0.0011886
0.26724,0.0067972,0.0014672
0.26818,0.007749,0.0017541
0.27005,0.0093937,0.0022998
0.27193,0.01054,0.0027284
0.27568,0.0090125,0.0025093
0.27905,0.0046686,0.0013424
0.28243,0.0021896,0.00082537
0.2858,0.0092859,0.0030665
0.28882,0.014429,0.0048291
0.29146,0.017201,0.0058756
0.29409,0.017904,0.0062519
0.29673,0.016631,0.0059072
0.29937,0.01331,0.0053618
0.302,0.0029484,0.0073069
0.30357,0.014088,0.0087276
0.30513,0.024586,0.0099186
0.30669,0.033941,0.010976
0.30709,0.036042,0.011217
0.30787,0.04008,0.01173
0.30865,0.043546,0.012266
0.30943,0.046603,0.012823
0.31099,0.050631,0.014006
0.31256,0.052337,0.01519
0.31412,0.051658,0.016326
0.31569,0.048707,0.017322
0.31881,0.038084,0.018654
0.32194,0.021631,0.018603
0.32272,0.016791,0.018351
0.32428,0.0068727,0.017479
0.32585,0.0031802,0.01618
0.32741,0.011868,0.014524
0.32741,0.01174,0.014526
0.32741,0.011707,0.014525
0.32741,0.011704,0.014525
0.32741,0.011703,0.014524
0.32741,0.011704,0.014524
0.32741,0.011709,0.014522
0.32742,0.011722,0.014519
0.32742,0.011749,0.014513
0.32743,0.011804,0.014501
0.32745,0.011913,0.014478
0.32749,0.012128,0.01443
0.32757,0.012542,0.014337
0.32773,0.013346,0.014147
0.32789,0.014121,0.013954
0.3282,0.015593,0.01355
0.32884,0.018178,0.012685
0.32947,0.020376,0.011763
0.3301,0.022196,0.010783
0.33137,0.024376,0.0085777
0.33264,0.025174,0.0061965
0.33517,0.022701,0.0013061
0.3377,0.017797,0.0047839
0.34024,0.011999,0.0097496
0.34277,0.0066696,0.013991
0.3453,0.0030275,0.017226
0.34783,0.0024603,0.01929
0.35037,0.0028038,0.020169
0.3529,0.0041188,0.02032
0.35543,0.007674,0.019562
0.35797,0.012376,0.017872
0.3605,0.01705,0.015298
0.36303,0.020712,0.012024
0.36557,0.022667,0.0084548
0.36776,0.022487,0.0054578
0.36996,0.020563,0.0029478
0.37215,0.016957,0.0011496
0.37435,0.011408,0.00052344
0.37655,0.0048358,0.00057493
0.37852,0.0056183,0.00058756
0.3805,0.010097,0.0004796
0.38248,0.014011,0.00089389
0.38445,0.016421,0.0021341
0.38622,0.017339,0.0037621
0.388,0.016949,0.0057892
0.38977,0.015364,0.0080763
0.39154,0.012804,0.010449
0.39331,0.0095227,0.012713
0.39685,0.0029912,0.015601
0.40039,0.0026992,0.016106
0.40128,0.0037083,0.016067
0.40305,0.0051927,0.015333
0.40482,0.0059622,0.013958
0.40837,0.0052822,0.0093491
0.41191,0.0035485,0.0038032
0.41545,0.0019649,0.0018971
0.41848,0.001426,0.0059819
0.4215,0.0013654,0.0092449
0.42453,0.001593,0.011442
0.42755,0.002511,0.012596
0.42831,0.0028095,0.012763
0.42982,0.0035885,0.012952
