Time (s),Pressure (Pa)
0.0,11000.0
0.005,11000.0
0.01,11000.0
0.015,11000.0
0.02,11000.0
0.025,11000.0
0.03,11000.0
0.035,11000.0
0.04,11000.0
0.045,10999.0
0.05,10993.0
0.055,10982.0
0.06,10986.0
0.065,11000.0
0.07,11000.0
0.075,11495.0
0.08,11797.0
0.085,11800.0
0.09,11800.0
0.095,11800.0
0.1,11800.0
0.105,11800.0
0.11,11798.0
0.115,11792.0
0.12,11770.0
0.125,11773.0
0.13,11793.0
0.135,11800.0
0.14,11800.0
0.145,11800.0
0.15,11425.0
0.155,10497.0
0.16,10500.0
0.165,10500.0
0.17,10496.0
0.175,10477.0
0.18,10473.0
0.185,10482.0
0.19,10495.0
0.195,10496.0
0.2,10498.0
0.205,10500.0
0.21,10500.0
0.215,10500.0
0.22,10500.0
0.225,10432.0
0.23,9730.0
0.235,9799.9
0.24,9800.2
0.245,9800.0
0.25,9800.0
0.255,9800.0
0.26,9786.6
0.265,9715.2
0.27,9572.3
0.275,9574.6
0.28,9738.6
0.285,9801.0
0.29,9800.7
0.295,9800.3
0.3,10059.0
0.305,10009.0
0.31,7610.3
0.315,7369.3
0.32,9283.6
0.325,10949.0
0.33,11000.0
0.335,11000.0
0.34,11000.0
0.345,11001.0
0.35,11002.0
0.355,11001.0
0.36,11002.0
0.365,11007.0
0.37,11001.0
0.375,11274.0
0.38,11616.0
0.385,11259.0
0.39,11336.0
0.395,11663.0
0.4,11794.0
0.405,11800.0
0.41,11800.0
0.415,11798.0
0.42,11799.0
0.425,11804.0
0.43,11800.0
0.435,11800.0
0.44,11800.0
0.445,11800.0
0.45,11487.0
0.455,10500.0
0.46,10495.0
0.465,10475.0
0.47,10446.0
0.475,10439.0
0.48,10455.0
0.485,10477.0
0.49,10494.0
0.495,10499.0
0.5,10500.0
0.505,10500.0
0.51,10500.0
0.515,10500.0
0.52,10429.0
0.525,10194.0
0.53,9882.0
0.535,9800.2
0.54,9800.3
0.545,9800.3
0.55,9800.2
0.555,9792.7
0.56,9731.1
0.565,9597.8
0.57,9495.1
0.575,9629.3
0.58,9804.6
0.585,9806.4
0.59,9800.9
0.595,9800.6
0.6,10398.0
0.605,8814.6
0.61,6328.5
0.615,7408.8
0.62,10089.0
0.625,11001.0
0.63,11000.0
0.635,11000.0
0.64,11000.0
0.645,10905.0
0.65,10980.0
0.655,11001.0
0.66,11002.0
0.665,11001.0
0.67,10996.0
0.675,11338.0
0.68,11521.0
0.685,11306.0
0.69,11459.0
0.695,11759.0
0.7,11802.0
0.705,11800.0
0.71,11800.0
0.715,11775.0
0.72,11665.0
0.725,11742.0
0.73,11800.0
0.735,11800.0
0.74,11801.0
0.745,11800.0
0.75,11800.0
0.755,11795.0
0.76,11736.0
0.765,11707.0
0.77,11666.0
0.775,10786.0
0.78,10517.0
0.785,10493.0
0.79,10500.0
0.795,10500.0
0.8,10500.0
0.805,10501.0
0.81,10501.0
0.815,10500.0
0.82,10500.0
0.825,10500.0
0.83,10500.0
0.835,10499.0
0.84,10498.0
0.845,10498.0
0.85,9930.6
0.855,9798.9
0.86,9799.4
0.865,9735.7
0.87,9591.4
0.875,9508.9
0.88,9636.3
0.885,9804.4
0.89,9804.7
0.895,9801.0
0.9,10273.0
0.905,10186.0
0.91,7405.3
0.915,6897.8
0.92,8883.7
0.925,10812.0
0.93,11000.0
0.935,11000.0
0.94,11000.0
0.945,11001.0
0.95,11001.0
0.955,11002.0
0.96,11001.0
0.965,10996.0
0.97,10985.0
0.975,10827.0
0.98,10075.0
0.985,9957.3
0.99,10489.0
0.995,10935.0
1.0,11000.0
