time_s,velocity_cm_s
0.0,0.00098534
0.005,14.092
0.01,30.015
0.015,37.703
0.02,35.79
0.025,30.84
0.03,24.945
0.035,18.295
0.04,11.103
0.045,4.23
0.05,1.6179
0.055,4.0895
0.06,3.3767
0.065,0.88297
0.07,6.5458
0.075,9.746
0.08,8.6634
0.085,11.61
0.09,17.899
0.095,21.466
0.1,20.83
0.105,15.457
0.11,6.9363
0.115,2.0885
0.12,6.5017
0.125,6.037
0.13,1.8214
0.135,4.0176
0.14,8.4703
0.145,11.373
0.15,13.168
0.155,13.608
0.16,10.063
0.165,4.7236
0.17,1.3737
0.175,5.0433
0.18,6.0716
0.185,4.2853
0.19,1.225
0.195,3.7645
0.2,6.6534
0.205,7.765
0.21,7.0163
0.215,6.0582
0.22,5.4581
0.225,5.1044
0.23,4.2013
0.235,3.3744
0.24,2.722
0.245,2.2312
0.25,1.8432
0.255,1.4263
0.26,3.2304
0.265,15.134
0.27,31.154
0.275,30.962
0.28,9.3579
0.285,25.275
0.29,52.233
0.295,58.22
0.3,35.324
0.305,79.11
0.31,160.23
0.315,166.67
0.32,108.4
0.325,9.4963
0.33,72.995
0.335,76.22
0.34,41.784
0.345,11.343
0.35,9.157
0.355,23.082
0.36,53.773
0.365,74.587
0.37,68.364
0.375,30.975
0.38,29.555
0.385,55.67
0.39,50.088
0.395,21.209
0.4,7.4694
0.405,19.76
0.41,14.913
0.415,7.135
0.42,4.6385
0.425,5.676
0.43,12.303
0.435,21.517
0.44,25.181
0.445,24.15
0.45,19.265
0.455,12.297
0.46,4.4321
0.465,6.3723
0.47,11.117
0.475,12.232
0.48,9.7464
0.485,5.8229
0.49,3.1743
0.495,3.9639
0.5,5.9318
0.505,7.3113
0.51,7.9993
0.515,8.2863
0.52,8.2006
0.525,7.7275
0.53,6.5368
0.535,5.4369
0.54,4.425
0.545,3.5467
0.55,2.8945
0.555,3.0385
0.56,13.102
0.565,28.502
0.57,38.213
0.575,26.196
0.58,11.377
0.585,62.57
0.59,91.595
0.595,73.844
0.6,10.826
0.605,124.17
0.61,191.42
0.615,165.68
0.62,75.006
0.625,37.618
0.63,88.814
0.635,64.276
0.64,17.947
0.645,19.197
0.65,11.573
0.655,40.564
0.66,74.165
0.665,75.506
0.67,49.429
0.675,15.311
0.68,37.657
0.685,52.274
0.69,40.895
0.695,9.1475
0.7,23.778
0.705,34.33
0.71,20.312
0.715,6.2776
0.72,21.9
0.725,11.721
0.73,13.119
0.735,31.231
0.74,37.608
0.745,32.61
0.75,18.89
0.755,3.7953
0.76,12.575
0.765,16.595
0.77,14.282
0.775,5.532
0.78,3.5382
0.785,4.603
0.79,4.2313
0.795,3.6982
0.8,3.7185
0.805,4.4796
0.81,5.9261
0.815,7.6722
0.82,9.0926
0.825,8.5566
0.83,4.586
0.835,3.2727
0.84,3.0268
0.845,2.9369
0.85,4.3563
0.855,6.8136
0.86,3.1769
0.865,12.592
0.87,29.587
0.875,37.162
0.88,23.513
0.885,13.615
0.89,56.992
0.895,84.546
0.9,69.07
0.905,68.931
0.91,165.46
0.915,178.11
0.92,123.2
0.925,27.546
0.93,56.131
0.935,68.719
0.94,45.614
0.945,26.616
0.95,30.778
0.955,54.28
0.96,74.486
0.965,68.426
0.97,36.865
0.975,29.132
0.98,76.746
0.985,82.085
0.99,52.59
0.995,11.844
1.0,19.037
