time_s,von_mises_stress_N_per_m
0.0,0.92408
0.005,1870.5
0.01,5039.5
0.015,13282.0
0.02,23105.0
0.025,31625.0
0.03,38077.0
0.035,42494.0
0.04,45157.0
0.045,46418.0
0.05,46807.0
0.055,47011.0
0.06,47680.0
0.065,49467.0
0.07,52566.0
0.075,56503.0
0.08,60663.0
0.085,65018.0
0.09,70007.0
0.095,75117.0
0.1,79852.0
0.105,83577.0
0.11,85830.0
0.115,86574.0
0.12,85786.0
0.125,84648.0
0.13,84030.0
0.135,84071.0
0.14,84800.0
0.145,86031.0
0.15,87557.0
0.155,89390.0
0.16,90968.0
0.165,91967.0
0.17,92243.0
0.175,91932.0
0.18,91380.0
0.185,91001.0
0.19,91098.0
0.195,91771.0
0.2,92902.0
0.205,94216.0
0.21,95300.0
0.215,96019.0
0.22,96438.0
0.225,96705.0
0.23,96753.0
0.235,96611.0
0.24,96387.0
0.245,96190.0
0.25,96113.0
0.255,96226.0
0.26,96108.0
0.265,93697.0
0.27,85646.0
0.275,71227.0
0.28,57122.0
0.285,49265.0
0.29,50874.0
0.295,58065.0
0.3,65019.0
0.305,62064.0
0.31,44602.0
0.315,21551.0
0.32,16401.0
0.325,32631.0
0.33,49038.0
0.335,59945.0
0.34,61610.0
0.345,54440.0
0.35,44538.0
0.355,38306.0
0.36,38494.0
0.365,46672.0
0.37,60815.0
0.375,73817.0
0.38,78850.0
0.385,77845.0
0.39,76229.0
0.395,77764.0
0.4,82151.0
0.405,87021.0
0.41,89540.0
0.415,89583.0
0.42,87532.0
0.425,84892.0
0.43,82946.0
0.435,82767.0
0.44,84272.0
0.445,86353.0
0.45,88425.0
0.455,90156.0
0.46,91162.0
0.465,91380.0
0.47,91159.0
0.475,90928.0
0.48,91077.0
0.485,91729.0
0.49,92648.0
0.495,93529.0
0.5,94351.0
0.505,94974.0
0.51,95366.0
0.515,95638.0
0.52,95831.0
0.525,95972.0
0.53,95997.0
0.535,96082.0
0.54,96218.0
0.545,96398.0
0.55,96637.0
0.555,96621.0
0.56,94618.0
0.565,88025.0
0.57,75876.0
0.575,60149.0
0.58,46111.0
0.585,44246.0
0.59,55575.0
0.595,66980.0
0.6,73337.0
0.605,63024.0
0.61,38214.0
0.615,16148.0
0.62,17892.0
0.625,34543.0
0.63,51011.0
0.635,61057.0
0.64,60038.0
0.645,48677.0
0.65,35534.0
0.655,30491.0
0.66,36944.0
0.665,50316.0
0.67,63660.0
0.675,72709.0
0.68,74501.0
0.685,73049.0
0.69,72013.0
0.695,73814.0
0.7,78879.0
0.705,85368.0
0.71,90558.0
0.715,91801.0
0.72,88759.0
0.725,84104.0
0.73,81690.0
0.735,82730.0
0.74,85522.0
0.745,88490.0
0.75,90178.0
0.755,89789.0
0.76,88078.0
0.765,86414.0
0.77,85700.0
0.775,87178.0
0.78,89568.0
0.785,92053.0
0.79,94072.0
0.795,95370.0
0.8,95987.0
0.805,96126.0
0.81,96013.0
0.815,95801.0
0.82,95677.0
0.825,95499.0
0.83,94748.0
0.835,93855.0
0.84,93201.0
0.845,92946.0
0.85,93498.0
0.855,95069.0
0.86,96017.0
0.865,94168.0
0.87,87176.0
0.875,74374.0
0.88,59066.0
0.885,47081.0
0.89,45771.0
0.895,55587.0
0.9,67085.0
0.905,66573.0
0.91,48385.0
0.915,22501.0
0.92,11782.0
0.925,20954.0
0.93,30903.0
0.935,35723.0
0.94,33381.0
0.945,26872.0
0.95,21710.0
0.955,28246.0
0.96,37169.0
0.965,43348.0
0.97,52829.0
0.975,58341.0
0.98,53462.0
0.985,41528.0
0.99,32258.0
0.995,28551.0
1.0,29430.0
