Time_s,Mitral_Total_Stress_X_N_per_m
0.0,-0.76338
0.005,2.0297
0.01,2.712
0.015,1.5451
0.02,0.31369
0.025,-0.41209
0.03,-0.67164
0.035,-0.80235
0.04,-0.88347
0.045,-0.86725
0.05,-0.65262
0.055,-0.2649
0.06,0.19784
0.065,0.58471
0.07,0.83701
0.075,0.08652
0.08,0.3068
0.085,0.47328
0.09,0.66195
0.095,0.35885
0.1,-0.12043
0.105,-0.61371
0.11,-1.1104
0.115,-1.1749
0.12,-0.67216
0.125,-0.10426
0.13,0.27498
0.135,0.44763
0.14,0.4302
0.145,0.29873
0.15,0.2221
0.155,0.027276
0.16,-0.42041
0.165,-0.63319
0.17,-0.63151
0.175,-0.37313
0.18,-0.010361
0.185,0.30325
0.19,0.44251
0.195,0.38516
0.2,0.1795
0.205,-0.07185
0.21,-0.21252
0.215,-0.23535
0.22,-0.18493
0.225,-0.12814
0.23,-0.20177
0.235,-0.12205
0.24,-0.053319
0.245,0.0064588
0.25,0.034284
0.255,0.026536
0.26,-1.4154
0.265,-3.0771
0.27,-3.6611
0.275,-1.9279
0.28,1.3983
0.285,5.028
0.29,6.1896
0.295,4.0556
0.3,-3.0937
0.305,-15.701
0.31,-1.5704
0.315,15.144
0.32,17.136
0.325,12.973
0.33,7.3842
0.335,-1.3167
0.34,-5.5788
0.345,-5.3367
0.35,-1.7628
0.355,3.2941
0.36,6.9211
0.365,6.4208
0.37,1.9694
0.375,-3.7309
0.38,-5.8602
0.385,-2.7291
0.39,1.1697
0.395,2.5259
0.4,1.9319
0.405,-0.0067786
0.41,-1.3063
0.415,-1.6786
0.42,-1.1336
0.425,-0.20243
0.43,0.67261
0.435,0.95732
0.44,0.67999
0.445,0.23817
0.45,-0.11744
0.455,-0.33965
0.46,-0.69806
0.465,-0.70936
0.47,-0.45301
0.475,-0.10686
0.48,0.16386
0.485,0.25394
0.49,0.2131
0.495,0.13223
0.5,0.039415
0.505,-0.047315
0.51,-0.095596
0.515,-0.11184
0.52,-0.10945
0.525,-0.10704
0.53,-0.12419
0.535,-0.10296
0.54,-0.076508
0.545,-0.062119
0.55,-0.057128
0.555,-1.1581
0.56,-2.5986
0.565,-3.7095
0.57,-3.0926
0.575,0.69268
0.58,6.4017
0.585,10.952
0.59,8.9235
0.595,1.8455
0.6,-14.796
0.605,-16.097
0.61,9.5621
0.615,23.433
0.62,21.229
0.625,13.4
0.63,3.6543
0.635,-4.6189
0.64,-9.2324
0.645,-6.5049
0.65,0.74539
0.655,7.1408
0.66,7.4887
0.665,4.4963
0.67,-0.45132
0.675,-4.765
0.68,-4.2882
0.685,-0.87106
0.69,2.2754
0.695,3.2994
0.7,2.0224
0.705,-0.53036
0.71,-3.0556
0.715,-3.6976
0.72,-1.7573
0.725,0.86099
0.73,2.3099
0.735,1.8583
0.74,0.76889
0.745,-0.39096
0.75,-1.35
0.755,-1.7384
0.76,-0.8893
0.765,0.07051
0.77,0.67767
0.775,1.1707
0.78,0.78882
0.785,0.17646
0.79,-0.22526
0.795,-0.35319
0.8,-0.28988
0.805,-0.15971
0.81,-0.046605
0.815,0.027346
0.82,0.061568
0.825,-0.087002
0.83,-0.43083
0.835,-0.11924
0.84,0.14437
0.845,0.28449
0.85,0.76107
0.855,0.44316
0.86,-1.4305
0.865,-2.8609
0.87,-3.9041
0.875,-2.5583
0.88,0.92905
0.885,5.752
0.89,9.6884
0.895,10.622
0.9,-5.9454
0.905,-19.158
0.91,-3.3979
0.915,15.326
0.92,18.989
0.925,15.545
0.93,6.1757
0.935,-1.7926
0.94,-5.7605
0.945,-3.991
0.95,1.3304
0.955,6.6943
0.96,8.05
0.965,3.3135
0.97,-4.3378
0.975,-7.4934
0.98,-7.4129
0.985,-0.42619
0.99,4.2148
0.995,4.7118
1.0,2.3485
