Time_s,Pressure_Pa
0.0,3999.7
0.005,3395.8
0.01,2574.8
0.015,2143.5
0.02,2237.9
0.025,2722.5
0.03,3294.9
0.035,3756.8
0.04,3987.3
0.045,4000.3
0.05,4000.6
0.055,4000.7
0.06,4000.0
0.065,3999.9
0.07,3991.2
0.075,4411.3
0.08,4579.8
0.085,4552.3
0.09,4616.2
0.095,4708.9
0.1,4775.9
0.105,4796.6
0.11,4792.1
0.115,4800.0
0.12,4800.0
0.125,4800.0
0.13,4796.4
0.135,4779.7
0.14,4753.0
0.145,4725.9
0.15,4341.8
0.155,3451.4
0.16,3478.0
0.165,3494.2
0.17,3500.2
0.175,3499.9
0.18,3500.0
0.185,3500.0
0.19,3500.0
0.195,3499.9
0.2,3498.1
0.205,3484.0
0.21,3461.7
0.215,3447.0
0.22,3441.9
0.225,3375.2
0.23,2679.6
0.235,2761.2
0.24,2774.8
0.245,2787.6
0.25,2797.9
0.255,2800.1
0.26,2800.0
0.265,2787.1
0.27,2754.8
0.275,2748.3
0.28,2783.4
0.285,2800.4
0.29,2800.1
0.295,2800.1
0.3,3066.7
0.305,4000.3
0.31,4000.5
0.315,4000.6
0.32,4000.7
0.325,4000.3
0.33,4000.3
0.335,3998.3
0.34,3698.7
0.345,3238.1
0.35,2984.1
0.355,3009.1
0.36,3308.6
0.365,3694.5
0.37,3939.8
0.375,4270.3
0.38,4798.3
0.385,4800.1
0.39,4800.4
0.395,4800.8
0.4,4800.7
0.405,4800.2
0.41,4799.8
0.415,4764.9
0.42,4571.4
0.425,4371.4
0.43,4301.6
0.435,4362.9
0.44,4481.1
0.445,4596.4
0.45,4384.2
0.455,3478.3
0.46,3460.9
0.465,3500.2
0.47,3500.3
0.475,3500.3
0.48,3500.2
0.485,3500.2
0.49,3500.2
0.495,3494.9
0.5,3484.7
0.505,3456.9
0.51,3434.6
0.515,3420.6
0.52,3344.4
0.525,3113.1
0.53,2816.5
0.535,2751.6
0.54,2768.9
0.545,2784.9
0.55,2795.5
0.555,2800.2
0.56,2797.8
0.565,2774.5
0.57,2751.6
0.575,2772.3
0.58,2800.9
0.585,2800.9
0.59,2800.5
0.595,2800.4
0.6,3400.2
0.605,4000.2
0.61,4000.3
0.615,4000.6
0.62,4000.6
0.625,4000.1
0.63,3999.7
0.635,3996.9
0.64,3678.4
0.645,3162.6
0.65,2932.4
0.655,3077.4
0.66,3441.1
0.665,3732.2
0.67,3869.2
0.675,4269.5
0.68,4767.0
0.685,4800.4
0.69,4801.0
0.695,4800.9
0.7,4801.2
0.705,4800.1
0.71,4800.3
0.715,4710.8
0.72,4262.3
0.725,4029.2
0.73,4130.6
0.735,4354.5
0.74,4529.9
0.745,4640.1
0.75,4709.2
0.755,4767.1
0.76,4799.2
0.765,4800.2
0.77,4741.9
0.775,3806.9
0.78,3547.5
0.785,3500.3
0.79,3500.6
0.795,3500.2
0.8,3489.4
0.805,3448.9
0.81,3420.6
0.815,3401.8
0.82,3393.5
0.825,3399.3
0.83,3420.6
0.835,3449.2
0.84,3477.6
0.845,3495.8
0.85,2930.1
0.855,2799.0
0.86,2800.2
0.865,2788.0
0.87,2744.6
0.875,2714.5
0.88,2741.0
0.885,2794.1
0.89,2802.5
0.895,2800.6
0.9,3274.0
0.905,4000.3
0.91,4000.3
0.915,4000.4
0.92,4000.2
0.925,4000.0
0.93,3999.9
0.935,3950.7
0.94,3636.1
0.945,3315.9
0.95,3190.8
0.955,3293.2
0.96,3552.1
0.965,3819.2
0.97,3958.7
0.975,3991.7
0.98,3995.7
0.985,4000.2
0.99,4000.3
0.995,4000.4
1.0,4000.3
