time_s,von_mises_stress_N_per_m
0.0,0.20748
0.005,4986.0
0.01,13135.0
0.015,22772.0
0.02,33504.0
0.025,43390.0
0.03,50468.0
0.035,53880.0
0.04,53786.0
0.045,51056.0
0.05,47057.0
0.055,43026.0
0.06,39812.0
0.065,38088.0
0.07,37967.0
0.075,39430.0
0.08,43010.0
0.085,48216.0
0.09,52703.0
0.095,55396.0
0.1,56596.0
0.105,56556.0
0.11,55946.0
0.115,55099.0
0.12,54260.0
0.125,53506.0
0.13,53052.0
0.135,52955.0
0.14,53322.0
0.145,54157.0
0.15,55189.0
0.155,55708.0
0.16,55874.0
0.165,55917.0
0.17,55890.0
0.175,55812.0
0.18,55649.0
0.185,55359.0
0.19,54961.0
0.195,54576.0
0.2,54386.0
0.205,54556.0
0.21,55268.0
0.215,56196.0
0.22,57121.0
0.225,57958.0
0.23,58662.0
0.235,59163.0
0.24,59442.0
0.245,59501.0
0.25,59390.0
0.255,59223.0
0.26,58850.0
0.265,58250.0
0.27,57645.0
0.275,58233.0
0.28,61424.0
0.285,66262.0
0.29,69528.0
0.295,69798.0
0.3,68100.0
0.305,64427.0
0.31,55593.0
0.315,45948.0
0.32,38158.0
0.325,37527.0
0.33,36796.0
0.335,39367.0
0.34,38691.0
0.345,33604.0
0.35,34023.0
0.355,43933.0
0.36,53591.0
0.365,57943.0
0.37,57318.0
0.375,54682.0
0.38,55200.0
0.385,59026.0
0.39,63023.0
0.395,62530.0
0.4,57441.0
0.405,51511.0
0.41,48506.0
0.415,47342.0
0.42,47608.0
0.425,49429.0
0.43,52740.0
0.435,55961.0
0.44,58288.0
0.445,60066.0
0.45,61000.0
0.455,60560.0
0.46,59339.0
0.465,57900.0
0.47,56471.0
0.475,55228.0
0.48,54290.0
0.485,53773.0
0.49,53582.0
0.495,53728.0
0.5,54020.0
0.505,54534.0
0.51,55215.0
0.515,55992.0
0.52,56845.0
0.525,57725.0
0.53,58545.0
0.535,59154.0
0.54,59566.0
0.545,59792.0
0.55,59819.0
0.555,59600.0
0.56,58858.0
0.565,57887.0
0.57,57616.0
0.575,60240.0
0.58,66460.0
0.585,72785.0
0.59,72960.0
0.595,68194.0
0.6,64378.0
0.605,59981.0
0.61,53044.0
0.615,47175.0
0.62,41907.0
0.625,38748.0
0.63,37558.0
0.635,40745.0
0.64,37856.0
0.645,30706.0
0.65,35184.0
0.655,46796.0
0.66,53249.0
0.665,54775.0
0.67,54257.0
0.675,54280.0
0.68,56915.0
0.685,60880.0
0.69,63960.0
0.695,62701.0
0.7,55737.0
0.705,47979.0
0.71,44806.0
0.715,44390.0
0.72,46155.0
0.725,51187.0
0.73,56942.0
0.735,59415.0
0.74,60290.0
0.745,60725.0
0.75,61241.0
0.755,61861.0
0.76,62164.0
0.765,61739.0
0.77,60512.0
0.775,57987.0
0.78,55527.0
0.785,53755.0
0.79,53007.0
0.795,53088.0
0.8,53639.0
0.805,54357.0
0.81,55098.0
0.815,55844.0
0.82,56606.0
0.825,57439.0
0.83,58306.0
0.835,59020.0
0.84,59415.0
0.845,59509.0
0.85,59227.0
0.855,58758.0
0.86,58163.0
0.865,57519.0
0.87,56935.0
0.875,57377.0
0.88,60597.0
0.885,66860.0
0.89,72984.0
0.895,74723.0
0.9,70552.0
0.905,63916.0
0.91,52610.0
0.915,43078.0
0.92,35449.0
0.925,33247.0
0.93,29629.0
0.935,29161.0
0.94,28776.0
0.945,28481.0
0.95,40861.0
0.955,56302.0
0.96,64628.0
0.965,64823.0
0.97,60872.0
0.975,56128.0
0.98,54272.0
0.985,55751.0
0.99,55383.0
0.995,51385.0
1.0,45468.0
