Time_s,Tricuspid_Total_Stress_X_N_per_m
0.0,2.1159
0.005,0.63162
0.01,-0.64562
0.015,-1.7216
0.02,-1.8824
0.025,-1.4794
0.03,-1.2889
0.035,-1.6018
0.04,-1.9351
0.045,-1.8588
0.05,-1.2784
0.055,-0.63737
0.06,-0.18084
0.065,0.10868
0.07,0.24032
0.075,0.33872
0.08,0.33714
0.085,-0.063751
0.09,-0.25628
0.095,-0.32713
0.1,-0.33287
0.105,-0.29197
0.11,-0.23279
0.115,-0.1321
0.12,-0.068668
0.125,-0.012524
0.13,0.039866
0.135,0.075352
0.14,0.088514
0.145,0.078757
0.15,0.0054116
0.155,-0.10637
0.16,-0.072697
0.165,-0.051544
0.17,-0.048397
0.175,-0.052782
0.18,-0.057045
0.185,-0.047983
0.19,-0.019224
0.195,0.024901
0.2,0.069375
0.205,0.093417
0.21,0.078786
0.215,0.046129
0.22,0.010652
0.225,-0.018341
0.23,-0.02843
0.235,-0.047396
0.24,-0.051197
0.245,-0.043297
0.25,-0.030734
0.255,-0.011596
0.26,-0.0012117
0.265,0.035981
0.27,-0.058565
0.275,-0.19485
0.28,-0.31677
0.285,-0.31723
0.29,-0.16108
0.295,0.072046
0.3,0.16746
0.305,-0.26228
0.31,-0.29035
0.315,-0.29339
0.32,-0.18287
0.325,-0.047169
0.33,0.14131
0.335,0.51659
0.34,0.368
0.345,-0.34841
0.35,-0.81305
0.355,-0.92088
0.36,-0.94652
0.365,-1.2603
0.37,-1.2532
0.375,-0.6671
0.38,-0.25852
0.385,-0.44958
0.39,-0.8212
0.395,-0.83364
0.4,-0.5709
0.405,0.0052143
0.41,0.5182
0.415,0.73952
0.42,0.36754
0.425,-0.25565
0.43,-0.49351
0.435,-0.61789
0.44,-0.59136
0.445,-0.52867
0.45,-0.52517
0.455,-0.57344
0.46,-0.3838
0.465,-0.19261
0.47,-0.086787
0.475,-0.024623
0.48,0.020245
0.485,0.05825
0.49,0.089693
0.495,0.10358
0.5,0.10755
0.505,0.089142
0.51,0.058237
0.515,0.024348
0.52,-0.006883
0.525,-0.030096
0.53,-0.04765
0.535,-0.057663
0.54,-0.060233
0.545,-0.055898
0.55,-0.045831
0.555,-0.035555
0.56,0.0088894
0.565,-0.027156
0.57,-0.15006
0.575,-0.34653
0.58,-0.45452
0.585,-0.2049
0.59,0.13157
0.595,0.36723
0.6,0.28738
0.605,-0.16181
0.61,-0.20909
0.615,-0.14222
0.62,-0.078454
0.625,-0.18311
0.63,0.11418
0.635,0.56972
0.64,0.5256
0.645,-0.369
0.65,-0.97025
0.655,-1.027
0.66,-1.0699
0.665,-0.99156
0.67,-0.69333
0.675,-0.34767
0.68,-0.3647
0.685,-0.68685
0.69,-0.93404
0.695,-0.91447
0.7,-0.69339
0.705,0.091872
0.71,0.91332
0.715,1.129
0.72,-0.03934
0.725,-1.3819
0.73,-1.5968
0.735,-1.3375
0.74,-1.0176
0.745,-0.6612
0.75,-0.38955
0.755,-0.25454
0.76,-0.18513
0.765,-0.11806
0.77,-0.074698
0.775,-0.10345
0.78,-0.011056
0.785,0.10253
0.79,0.16827
0.795,0.17633
0.8,0.14545
0.805,0.090318
0.81,0.031547
0.815,-0.022749
0.82,-0.058159
0.825,-0.083922
0.83,-0.10742
0.835,-0.1253
0.84,-0.12557
0.845,-0.11068
0.85,-0.085365
0.855,-0.024005
0.86,0.02476
0.865,0.047754
0.87,-0.016965
0.875,-0.15406
0.88,-0.3252
0.885,-0.41267
0.89,-0.27083
0.895,0.088213
0.9,0.26497
0.905,-0.13686
0.91,-0.13771
0.915,-0.10059
0.92,0.069206
0.925,0.19072
0.93,0.31345
0.935,0.42217
0.94,0.04343
0.945,-0.53679
0.95,-0.70701
0.955,-0.56775
0.96,-0.55905
0.965,-0.86666
0.97,-0.94367
0.975,-0.57453
0.98,-0.3952
0.985,-0.36257
0.99,-0.44129
0.995,-0.39921
1.0,-0.16312
