Time (s),NB (Pa),LV (Pa),BV (Pa)
0.0,11000.0,11000.0,11000.0
0.005,11000.0,11000.0,11000.0
0.01,11000.0,11000.0,11000.0
0.015,11000.0,11000.0,11000.0
0.02,10922.0,11000.0,11000.0
0.025,10948.0,11000.0,11000.0
0.03,11004.0,11000.0,11000.0
0.035,11000.0,11000.0,11000.0
0.04,11000.0,11000.0,11000.0
0.045,11000.0,10999.0,10942.0
0.05,11000.0,10993.0,10833.0
0.055,11000.0,10982.0,10803.0
0.06,11000.0,10986.0,10880.0
0.065,11000.0,11000.0,10973.0
0.07,11000.0,11000.0,11000.0
0.075,11399.0,11495.0,11232.0
0.08,11704.0,11797.0,11800.0
0.085,11800.0,11800.0,11800.0
0.09,11800.0,11800.0,11800.0
0.095,11800.0,11800.0,11800.0
0.1,11800.0,11800.0,11800.0
0.105,11799.0,11800.0,11799.0
0.11,11773.0,11798.0,11780.0
0.115,11794.0,11792.0,11744.0
0.12,11798.0,11770.0,11732.0
0.125,11800.0,11773.0,11743.0
0.13,11800.0,11793.0,11776.0
0.135,11800.0,11800.0,11795.0
0.14,11800.0,11800.0,11800.0
0.145,11800.0,11800.0,11800.0
0.15,11150.0,11425.0,11231.0
0.155,10500.0,10497.0,10499.0
0.16,10479.0,10500.0,10499.0
0.165,10501.0,10500.0,10500.0
0.17,10500.0,10496.0,10499.0
0.175,10500.0,10477.0,10489.0
0.18,10500.0,10473.0,10483.0
0.185,10500.0,10482.0,10486.0
0.19,10500.0,10495.0,10494.0
0.195,10500.0,10496.0,10498.0
0.2,10500.0,10498.0,10500.0
0.205,10500.0,10500.0,10500.0
0.21,10500.0,10500.0,10500.0
0.215,10500.0,10500.0,10500.0
0.22,10500.0,10500.0,10500.0
0.225,10310.0,10432.0,10218.0
0.23,9762.2,9730.0,9800.1
0.235,9800.2,9799.9,9799.0
0.24,9799.0,9800.2,9790.2
0.245,9799.6,9800.0,9789.7
0.25,9800.3,9800.0,9793.2
0.255,9800.2,9800.0,9796.7
0.26,9800.1,9786.6,9800.7
0.265,9800.1,9715.2,9800.3
0.27,9800.0,9572.3,9800.0
0.275,9800.0,9574.6,9802.2
0.28,9800.0,9738.6,9799.7
0.285,9800.0,9801.0,9799.8
0.29,9800.0,9800.7,9785.2
0.295,9800.0,9800.3,9733.0
0.3,10256.0,10059.0,10275.0
0.305,8142.6,10009.0,9347.5
0.31,10912.0,7610.3,8452.8
0.315,11000.0,7369.3,9163.8
0.32,11000.0,9283.6,10452.0
0.325,11000.0,10949.0,10981.0
0.33,10732.0,11000.0,11006.0
0.335,10641.0,11000.0,11000.0
0.34,10974.0,11000.0,11000.0
0.345,11000.0,11001.0,11000.0
0.35,11000.0,11002.0,11000.0
0.355,10990.0,11001.0,11000.0
0.36,10988.0,11002.0,11000.0
0.365,11000.0,11007.0,10979.0
0.37,11000.0,11001.0,10850.0
0.375,11398.0,11274.0,11159.0
0.38,11735.0,11616.0,11499.0
0.385,11800.0,11259.0,11632.0
0.39,11800.0,11336.0,11749.0
0.395,11800.0,11663.0,11800.0
0.4,11800.0,11794.0,11800.0
0.405,11795.0,11800.0,11800.0
0.41,11794.0,11800.0,11800.0
0.415,11800.0,11798.0,11800.0
0.42,11800.0,11799.0,11800.0
0.425,11800.0,11804.0,11800.0
0.43,11798.0,11800.0,11799.0
0.435,11799.0,11800.0,11789.0
0.44,11800.0,11800.0,11782.0
0.445,11799.0,11800.0,11781.0
0.45,11147.0,11487.0,11323.0
0.455,10495.0,10500.0,10343.0
0.46,10474.0,10495.0,10490.0
0.465,10500.0,10475.0,10499.0
0.47,10500.0,10446.0,10500.0
