time_s,NB_stress_N_per_m,LV_stress_N_per_m,BV_stress_N_per_m
0.0,0.66263,0.92408,0.9269
0.005,2693.8,1870.5,1495.0
0.01,9297.6,5039.5,4276.2
0.015,11339.0,13282.0,9517.6
0.02,9746.0,23105.0,17309.0
0.025,7989.8,31625.0,25848.0
0.03,8109.1,38077.0,31904.0
0.035,9493.7,42494.0,35248.0
0.04,11101.0,45157.0,36452.0
0.045,11995.0,46418.0,34825.0
0.05,12397.0,46807.0,30523.0
0.055,12667.0,47011.0,25788.0
0.06,13131.0,47680.0,23468.0
0.065,13958.0,49467.0,22445.0
0.07,14987.0,52566.0,24128.0
0.075,15835.0,56503.0,28300.0
0.08,14632.0,60663.0,31996.0
0.085,15109.0,65018.0,35518.0
0.09,15938.0,70007.0,38652.0
0.095,15739.0,75117.0,40866.0
0.1,16399.0,79852.0,42120.0
0.105,17186.0,83577.0,42529.0
0.11,17419.0,85830.0,42145.0
0.115,17574.0,86574.0,41212.0
0.12,18050.0,85786.0,40160.0
0.125,18543.0,84648.0,39335.0
0.13,18996.0,84030.0,39158.0
0.135,19432.0,84071.0,39476.0
0.14,19840.0,84800.0,40182.0
0.145,20249.0,86031.0,41167.0
0.15,20686.0,87557.0,42253.0
0.155,21305.0,89390.0,43199.0
0.16,20800.0,90968.0,43841.0
0.165,20665.0,91967.0,44142.0
0.17,21203.0,92243.0,44164.0
0.175,21759.0,91932.0,44033.0
0.18,22061.0,91380.0,43847.0
0.185,22173.0,91001.0,43705.0
0.19,22233.0,91098.0,43669.0
0.195,22344.0,91771.0,43781.0
0.2,22598.0,92902.0,44048.0
0.205,22999.0,94216.0,44448.0
0.21,23325.0,95300.0,44951.0
0.215,23504.0,96019.0,45524.0
0.22,23657.0,96438.0,46151.0
0.225,23820.0,96705.0,46750.0
0.23,23903.0,96753.0,47147.0
0.235,23993.0,96611.0,47341.0
0.24,24148.0,96387.0,47344.0
0.245,24248.0,96190.0,47233.0
0.25,24296.0,96113.0,47068.0
0.255,24403.0,96226.0,46914.0
0.26,24554.0,96108.0,46569.0
0.265,24671.0,93697.0,47062.0
0.27,24778.0,85646.0,49825.0
0.275,24886.0,71227.0,55176.0
0.28,24995.0,57122.0,60772.0
0.285,25104.0,49265.0,63394.0
0.29,25215.0,50874.0,61363.0
0.295,25325.0,58065.0,56625.0
0.3,25347.0,65019.0,53416.0
0.305,9201.2,62064.0,43301.0
0.31,6590.3,44602.0,26839.0
0.315,7632.2,21551.0,16592.0
0.32,5159.8,16401.0,17431.0
0.325,10663.0,32631.0,28014.0
0.33,14072.0,49038.0,32722.0
0.335,11054.0,59945.0,30706.0
0.34,9218.1,61610.0,24097.0
0.345,9875.9,54440.0,22116.0
0.35,11708.0,44538.0,26685.0
0.355,13684.0,38306.0,31398.0
0.36,14346.0,38494.0,35016.0
0.365,14267.0,46672.0,38216.0
0.37,14527.0,60815.0,39965.0
0.375,15280.0,73817.0,39589.0
0.38,14546.0,78850.0,37833.0
0.385,15452.0,77845.0,36324.0
0.39,16081.0,76229.0,35411.0
0.395,16031.0,77764.0,35291.0
0.4,16298.0,82151.0,35926.0
0.405,16909.0,87021.0,37046.0
0.41,17439.0,89540.0,38506.0
0.415,17787.0,89583.0,40073.0
0.42,18209.0,87532.0,41601.0
0.425,18633.0,84892.0,42921.0
0.43,19030.0,82946.0,43786.0
0.435,19440.0,82767.0,44090.0
0.44,19870.0,84272.0,43892.0
0.445,20312.0,86353.0,43350.0
0.45,20774.0,88425.0,42672.0
0.455,21288.0,90156.0,42029.0
0.46,20716.0,91162.0,41606.0
0.465,20554.0,91380.0,41503.0
0.47,21222.0,91159.0,41722.0
0.475,21769.0,90928.0,42226.0
0.48,22027.0,91077.0,42931.0
0.485,22153.0,91729.0,43717.0
0.49,22265.0,92648.0,44465.0
0.495,22438.0,93529.0,45076.0
0.5,22697.0,94351.0,45500.0
0.505,22977.0,94974.0,45745.0
0.51,23240.0,95366.0,45863.0
0.515,23467.0,95638.0,45923.0
0.52,23668.0,95831.0,45988.0
0.525,23833.0,95972.0,46073.0
0.53,23905.0,95997.0,46182.0
0.535,23990.0,96082.0,46319.0
0.54,24124.0,96218.0,46497.0
0.545,24233.0,96398.0,46704.0
0.55,24317.0,96637.0,46935.0
0.555,24427.0,96621.0,47072.0
0.56,24557.0,94618.0,47516.0
0.565,24668.0,88025.0,49706.0
0.57,24771.0,75876.0,54603.0
0.575,24881.0,60149.0,60408.0
0.58,24995.0,46111.0,63423.0
0.585,25106.0,44246.0,61448.0
0.59,25217.0,55575.0,56005.0
0.595,25327.0,66980.0,52567.0
0.6,25348.0,73337.0,52453.0
0.605,9268.9,63024.0,44660.0
0.61,7314.8,38214.0,27191.0
0.615,8891.0,16148.0,16861.0
0.62,4348.2,17892.0,18570.0
0.625,11214.0,34543.0,26332.0
0.63,15085.0,51011.0,29301.0
0.635,10887.0,61057.0,26574.0
0.64,8809.3,60038.0,22101.0
0.645,10191.0,48677.0,21226.0
0.65,10843.0,35534.0,25277.0
0.655,14985.0,30491.0,29620.0
0.66,16209.0,36944.0,33093.0
0.665,13537.0,50316.0,36364.0
0.67,13748.0,63660.0,38578.0
0.675,15262.0,72709.0,38964.0
0.68,14677.0,74501.0,37645.0
0.685,15867.0,73049.0,36084.0
0.69,16497.0,72013.0,34978.0
0.695,16088.0,73814.0,34631.0
0.7,16174.0,78879.0,35176.0
0.705,16780.0,85368.0,36485.0
0.71,17386.0,90558.0,38143.0
0.715,17895.0,91801.0,39891.0
0.72,18283.0,88759.0,41512.0
0.725,18639.0,84104.0,42737.0
0.73,19011.0,81690.0,43429.0
0.735,19420.0,82730.0,43592.0
0.74,19862.0,85522.0,43373.0
0.745,20314.0,88490.0,43034.0
0.75,20694.0,90178.0,42659.0
0.755,19917.0,89789.0,42209.0
0.76,19773.0,88078.0,41936.0
0.765,20036.0,86414.0,41985.0
0.77,20385.0,85700.0,42364.0
0.775,20902.0,87178.0,42894.0
0.78,22751.0,89568.0,43744.0
0.785,22382.0,92053.0,44554.0
0.79,21673.0,94072.0,44947.0
0.795,22348.0,95370.0,44892.0
0.8,22834.0,95987.0,44767.0
0.805,23053.0,96126.0,44793.0
0.81,23268.0,96013.0,45061.0
0.815,23462.0,95801.0,45570.0
0.82,23614.0,95677.0,46221.0
0.825,23787.0,95499.0,46679.0
0.83,22999.0,94748.0,46547.0
0.835,22706.0,93855.0,45928.0
0.84,22933.0,93201.0,45233.0
0.845,23147.0,92946.0,44819.0
0.85,23545.0,93498.0,44976.0
0.855,24617.0,95069.0,45789.0
0.86,25073.0,96017.0,46685.0
0.865,24684.0,94168.0,48347.0
0.87,24711.0,87176.0,51507.0
0.875,24757.0,74374.0,55775.0
0.88,24842.0,59066.0,59108.0
0.885,25144.0,47081.0,59454.0
0.89,25359.0,45771.0,58635.0
0.895,25388.0,55587.0,57513.0
0.9,25279.0,67085.0,56340.0
0.905,8995.8,66573.0,44263.0
0.91,6623.5,48385.0,26329.0
0.915,7751.9,22501.0,14798.0
0.92,4911.6,11782.0,11931.0
0.925,10786.0,20954.0,19317.0
0.93,14050.0,30903.0,24521.0
0.935,11117.0,35723.0,23906.0
0.94,8871.1,33381.0,20590.0
0.945,9916.6,26872.0,19742.0
0.95,11335.0,21710.0,23349.0
0.955,14337.0,28246.0,30068.0
0.96,15279.0,37169.0,37317.0
0.965,14094.0,43348.0,43298.0
0.97,13790.0,52829.0,46666.0
0.975,15055.0,58341.0,46443.0
0.98,16130.0,53462.0,42219.0
0.985,16532.0,41528.0,37499.0
0.99,16447.0,32258.0,34060.0
0.995,15619.0,28551.0,32120.0
1.0,15160.0,29430.0,31438.0
