Time_s,NB_N_per_m,LV_N_per_m,BV_N_per_m
0.0,-0.32706,-0.76338,-0.76339
0.005,0.46405,2.0297,0.82223
0.01,-0.27617,2.712,1.5223
0.015,-0.38244,1.5451,1.4255
0.02,-0.20151,0.31369,0.68002
0.025,0.081372,-0.41209,-0.42215
0.03,0.14642,-0.67164,-0.81281
0.035,0.098331,-0.80235,-1.3236
0.04,-0.046827,-0.88347,-1.8517
0.045,-0.077704,-0.86725,-2.4055
0.05,-0.051559,-0.65262,-1.9478
0.055,-0.0027238,-0.2649,0.57553
0.06,0.031213,0.19784,2.7534
0.065,0.020432,0.58471,2.4171
0.07,-0.016342,0.83701,0.93221
0.075,-0.42265,0.08652,-0.6661
0.08,0.21869,0.3068,-0.9353
0.085,0.11968,0.47328,0.48248
0.09,-0.19545,0.66195,0.81244
0.095,0.073634,0.35885,0.17782
0.1,0.011227,-0.12043,-0.67622
0.105,-0.13197,-0.61371,-1.1694
0.11,-0.02796,-1.1104,-0.67242
0.115,0.063557,-1.1749,-0.17979
0.12,-0.010007,-0.67216,0.10843
0.125,-0.043193,-0.10426,0.2872
0.13,-0.03136,0.27498,0.39357
0.135,-0.022861,0.44763,0.45143
0.14,-0.015379,0.4302,0.44973
0.145,-0.012589,0.29873,0.38625
0.15,0.069336,0.2221,0.30978
0.155,-0.18991,0.027276,0.050285
0.16,-0.050282,-0.42041,-0.38088
0.165,0.072723,-0.63319,-0.56181
0.17,0.0083317,-0.63151,-0.50417
0.175,-0.045095,-0.37313,-0.31084
0.18,-0.042373,-0.010361,-0.067882
0.185,-0.027474,0.30325,0.11619
0.19,-0.018496,0.44251,0.21243
0.195,-0.001908,0.38516,0.23287
0.2,0.0088077,0.1795,0.19021
0.205,-0.011533,-0.07185,0.1195
0.21,-0.035026,-0.21252,0.046781
0.215,-0.030063,-0.23535,-0.0068892
0.22,-0.018147,-0.18493,-0.084868
0.225,-0.018973,-0.12814,-0.20684
0.23,-0.025483,-0.20177,-0.32164
0.235,0.0010693,-0.12205,-0.28961
0.24,-0.018723,-0.053319,-0.19917
0.245,-0.027492,0.0064588,-0.10615
0.25,-0.009432,0.034284,-0.023333
0.255,-0.0075451,0.026536,0.038529
0.26,-0.019165,-1.4154,1.6985
0.265,-0.017309,-3.0771,2.8378
0.27,-0.015098,-3.6611,3.1318
0.275,-0.015369,-1.9279,1.1829
0.28,-0.015888,1.3983,-2.0969
0.285,-0.015944,5.028,-4.5803
0.29,-0.015817,6.1896,-4.1554
0.295,-0.015589,4.0556,-1.4047
0.3,-3.0705,-3.0937,-5.8757
0.305,3.3059,-15.701,-6.6867
0.31,2.0435,-1.5704,5.7072
0.315,-0.71416,15.144,11.206
0.32,0.84974,17.136,9.3368
0.325,0.028153,12.973,4.4439
0.33,-1.1382,7.3842,-0.090458
0.335,0.40351,-1.3167,-3.2463
0.34,0.34517,-5.5788,-2.0256
0.345,0.037513,-5.3367,1.0565
0.35,0.024892,-1.7628,3.2573
0.355,-0.15576,3.2941,2.6518
0.36,-0.081996,6.9211,-0.24456
0.365,0.018233,6.4208,-2.9089
0.37,0.042036,1.9694,-2.9944
0.375,-0.30827,-3.7309,-2.2239
0.38,0.18488,-5.8602,-0.62062
0.385,0.083529,-2.7291,0.7589
0.39,-0.093255,1.1697,1.1621
0.395,0.008722,2.5259,1.0142
0.4,0.029657,1.9319,0.68736
0.405,-0.046156,-0.0067786,0.62434
0.41,-0.039328,-1.3063,0.42063
0.415,0.030394,-1.6786,0.077462
0.42,0.0027617,-1.1336,-0.2867
0.425,-0.03096,-0.20243,-0.56103
0.43,-0.027082,0.67261,-0.70683
0.435,-0.015129,0.95732,-0.6406
0.44,-0.0084207,0.67999,-0.41606
0.445,-0.011291,0.23817,-0.11093
0.45,0.059882,-0.11744,0.23531
0.455,-0.17709,-0.33965,0.44991
0.46,-0.024727,-0.69806,0.13492
0.465,0.097845,-0.70936,-0.0077718
0.47,-0.0020292,-0.45301,0.0083604
0.475,-0.047021,-0.10686,0.08358
0.48,-0.039907,0.16386,0.12384
0.485,-0.026282,0.25394,0.092277
0.49,-0.016101,0.2131,0.009184
0.495,-0.0063192,0.13223,-0.084436
0.5,-0.0079503,0.039415,-0.15081
0.505,-0.015167,-0.047315,-0.17147
0.51,-0.020935,-0.095596,-0.14906
0.515,-0.021707,-0.11184,-0.10052
0.52,-0.018548,-0.10945,-0.057246
0.525,-0.027026,-0.10704,-0.027514
0.53,-0.023795,-0.12419,-0.032482
0.535,-0.0016519,-0.10296,-0.04441
0.54,-0.013992,-0.076508,-0.011067
0.545,-0.021372,-0.062119,0.013385
0.55,-0.013819,-0.057128,0.044651
0.555,-0.012319,-1.1581,0.95792
0.56,-0.018121,-2.5986,2.4586
0.565,-0.016676,-3.7095,3.2002
0.57,-0.013072,-3.0926,1.6921
0.575,-0.013226,0.69268,-1.6828
0.58,-0.015299,6.4017,-4.6208
0.585,-0.016178,10.952,-4.4015
0.59,-0.015988,8.9235,-0.24946
0.595,-0.015794,1.8455,3.5957
0.6,-3.0876,-14.796,-5.8632
0.605,4.7705,-16.097,-9.3208
0.61,2.1048,9.5621,3.04
0.615,-1.2373,23.433,10.143
