Time_s,NB_Pressure_Pa,LV_Pressure_Pa,BV_Pressure_Pa
0.0,4000.2,3999.7,3999.8
0.005,1868.0,3395.8,3367.7
0.01,2615.1,2574.8,2421.7
0.015,3925.0,2143.5,1875.0
0.02,4000.4,2237.9,1877.4
0.025,4000.1,2722.5,2304.3
0.03,3951.6,3294.9,3008.0
0.035,3770.9,3756.8,3720.6
0.04,3804.6,3987.3,4016.3
0.045,3941.8,4000.3,4000.4
0.05,4001.8,4000.6,4000.3
0.055,3999.7,4000.7,4000.0
0.06,3959.8,4000.0,3999.9
0.065,3910.3,3999.9,3997.9
0.07,3905.5,3991.2,3781.5
0.075,4334.9,4411.3,3542.4
0.08,4744.4,4579.8,3783.6
0.085,4800.0,4552.3,3872.1
0.09,4792.9,4616.2,4214.3
0.095,4766.4,4708.9,4522.9
0.1,4758.7,4775.9,4708.7
0.105,4755.3,4796.6,4788.8
0.11,4772.2,4792.1,4800.0
0.115,4798.6,4800.0,4800.0
0.12,4797.3,4800.0,4800.0
0.125,4773.0,4800.0,4800.0
0.13,4763.1,4796.4,4799.9
0.135,4768.6,4779.7,4784.5
0.14,4776.9,4753.0,4751.7
0.145,4779.6,4725.9,4717.0
0.15,4144.5,4341.8,4148.7
0.155,3500.1,3451.4,3450.7
0.16,3499.6,3478.0,3474.8
0.165,3469.8,3494.2,3491.7
0.17,3432.5,3500.2,3499.2
0.175,3447.4,3499.9,3500.0
0.18,3486.2,3500.0,3500.0
0.185,3498.9,3500.0,3500.0
0.19,3499.8,3500.0,3499.9
0.195,3475.6,3499.9,3498.6
0.2,3460.9,3498.1,3488.3
0.205,3464.1,3484.0,3474.4
0.21,3487.2,3461.7,3462.4
0.215,3499.1,3447.0,3456.2
0.22,3498.6,3441.9,3457.7
0.225,3298.5,3375.2,3185.7
0.23,2746.1,2679.6,2779.9
0.235,2789.1,2761.2,2793.0
0.24,2798.4,2774.8,2799.2
0.245,2799.7,2787.6,2800.0
0.25,2799.5,2797.9,2800.0
0.255,2794.0,2800.1,2800.0
0.26,2790.7,2800.0,2799.7
0.265,2793.8,2787.1,2800.5
0.27,2797.2,2754.8,2799.1
0.275,2798.2,2748.3,2805.4
0.28,2798.1,2783.4,2800.1
0.285,2797.6,2800.4,2799.8
0.29,2796.9,2800.1,2800.3
0.295,2797.1,2800.1,2798.8
0.3,3400.1,3066.7,3400.0
0.305,4002.1,4000.3,4000.2
0.31,3999.7,4000.5,4000.3
0.315,3836.1,4000.6,4000.2
0.32,2958.3,4000.7,3998.7
0.325,3284.1,4000.3,3999.6
0.33,3983.5,4000.3,3950.8
0.335,4000.4,3998.3,3602.8
0.34,3998.0,3698.7,3189.4
0.345,3880.4,3238.1,2996.5
0.35,3622.6,2984.1,3097.7
0.355,3769.7,3009.1,3336.0
0.36,3979.7,3308.6,3580.3
0.365,4000.1,3694.5,3763.7
0.37,4000.0,3939.8,3895.9
0.375,4317.7,4270.3,4437.4
