Time (s),NB (cm/s),LV (cm/s),BV (cm/s)
0.0,0.051592,0.037054,0.037052
0.005,101.02,58.427,60.1
0.01,75.545,97.99,103.98
0.015,6.9912,114.01,123.12
0.02,37.339,110.63,123.06
0.025,24.523,91.567,108.23
0.03,4.2259,63.539,79.025
0.035,18.932,31.614,35.463
0.04,16.752,2.9928,11.117
0.045,6.3684,19.719,42.136
0.05,3.8139,30.653,50.168
0.055,3.824,31.891,42.043
0.06,5.119,25.444,26.344
0.065,8.902,13.762,3.5927
0.07,9.1086,1.568,29.998
0.075,6.6967,15.033,63.27
0.08,5.8965,28.36,80.276
0.085,3.2741,32.718,76.018
0.09,2.3642,26.58,57.278
0.095,4.05,16.014,34.96
0.1,4.7099,5.5273,15.47
0.105,4.9543,3.3895,2.1418
0.11,3.6236,8.2415,11.523
0.115,2.196,10.118,19.393
0.12,2.1874,8.9223,21.078
0.125,3.5014,5.9276,17.086
0.13,4.2364,1.8034,7.9452
0.135,3.7776,4.5557,2.4825
0.14,3.1384,9.3961,9.4632
0.145,2.9163,13.331,14.77
0.15,2.0476,14.804,14.572
0.155,10.579,9.3386,9.6962
0.16,5.9813,5.1893,5.6198
0.165,4.0085,2.3696,2.6315
0.17,6.7739,2.2895,1.8046
0.175,5.5325,3.9721,3.1006
0.18,2.3607,5.5106,3.8397
0.185,3.1652,6.4286,3.7143
0.19,2.8023,6.1902,2.6549
0.195,4.1888,4.4563,1.6428
0.2,4.4277,1.9285,3.2782
0.205,4.0917,4.2857,5.7701
0.21,2.3767,8.0619,7.8524
0.215,1.7915,10.463,9.0038
0.22,1.7475,11.24,8.7317
0.225,2.1094,11.02,7.0719
0.23,2.6507,10.019,4.8085
0.235,2.018,8.1076,2.3786
0.24,1.4868,5.6409,1.7693
0.245,1.5486,3.2177,3.0937
0.25,1.553,1.5292,3.7621
0.255,1.6565,1.8804,3.3609
0.26,1.7984,1.7613,8.5289
0.265,1.6282,3.3369,24.447
0.27,1.4331,9.1362,48.021
0.275,1.3914,10.196,67.899
0.28,1.349,3.2491,72.49
0.285,1.3539,10.092,60.915
0.29,1.3587,21.19,41.659
0.295,1.2989,24.534,25.111
0.3,3.7057,22.406,15.777
0.305,88.324,39.311,31.538
0.31,90.88,53.015,43.988
0.315,13.705,67.543,50.838
0.32,61.759,75.188,43.645
0.325,46.916,67.749,23.175
0.33,3.5118,43.771,9.9343
0.335,35.714,6.1564,44.735
0.34,27.186,37.145,69.675
0.345,10.742,67.364,79.195
0.35,28.613,80.165,74.909
0.355,19.078,79.024,61.981
0.36,2.8861,63.501,46.368
0.365,7.7446,37.107,31.664
0.37,2.9222,11.625,17.595
0.375,7.9835,2.146,5.0703
0.38,14.269,1.9739,4.4177
0.385,5.0528,10.532,9.3075
0.39,2.3053,33.553,7.8008
0.395,2.7011,56.363,1.691
0.4,2.3616,64.198,11.116
0.405,5.2691,54.91,20.059
0.41,6.0405,27.137,24.295
0.415,3.1522,4.8183,24.789
0.42,1.6675,30.498,21.6
0.425,1.9381,46.49,15.14
0.43,3.0523,51.791,6.8459
0.435,3.2118,47.597,1.8506
0.44,3.0308,38.46,8.4889
0.445,2.6879,28.342,12.399
0.45,1.245,16.723,14.464
0.455,11.095,2.4096,16.093
0.46,6.1879,9.9951,12.107
0.465,3.2851,16.919,4.9669
0.47,7.9986,20.882,2.6998
0.475,5.6146,21.944,8.0707
0.48,1.9882,20.035,10.569
0.485,1.4752,15.442,10.892
0.49,1.193,9.27,9.4146
0.495,1.7335,3.11,6.9525
0.5,2.3305,3.5451,4.299
0.505,2.2521,8.6688,2.1418
0.51,1.7824,12.201,1.0798
0.515,1.3693,14.26,1.0773
0.52,1.2799,14.955,1.1028
0.525,1.5318,14.466,1.0299
0.53,1.8097,12.396,1.4654
0.535,1.3085,9.6689,2.2485
0.54,0.88785,6.6271,2.7846
0.545,0.82562,3.6046,3.0181
0.55,0.83575,1.367,2.7785
0.555,1.0364,1.5332,2.5768
0.56,1.1546,1.3103,18.261
0.565,1.0733,5.5925,43.674
0.57,0.9102,9.6845,68.742
0.575,0.81561,6.2208,77.781
0.58,0.81809,8.2175,68.265
0.585,0.8447,27.959,47.723
0.59,0.84835,40.653,28.852
0.595,0.85274,33.094,16.87
0.6,3.521,18.399,6.944
0.605,92.463,25.786,19.862
0.61,100.1,38.145,30.907
0.615,18.633,57.201,42.106
0.62,66.822,69.222,44.473
0.625,51.131,65.566,31.028
0.63,3.5778,44.654,5.2456
0.635,39.035,6.0244,32.619
0.64,40.613,38.908,59.544
0.645,15.047,71.268,71.58
0.65,46.824,82.281,71.96
0.655,28.283,75.756,63.77
0.66,3.5344,55.568,51.027
0.665,31.368,34.39,36.472
0.67,17.265,20.735,21.446
