time_s,NB_stress_N_per_m,LV_stress_N_per_m,BV_stress_N_per_m
0.0,0.19192,0.20748,0.20536
0.005,7116.9,4986.0,4667.5
0.01,16393.0,13135.0,13361.0
0.015,19551.0,22772.0,24815.0
0.02,16632.0,33504.0,37240.0
0.025,13473.0,43390.0,49788.0
0.03,13074.0,50468.0,60057.0
0.035,14559.0,53880.0,66573.0
0.04,16567.0,53786.0,67648.0
0.045,17473.0,51056.0,64494.0
0.05,17543.0,47057.0,60261.0
0.055,17345.0,43026.0,56274.0
0.06,17423.0,39812.0,53425.0
0.065,18047.0,38088.0,51436.0
0.07,18991.0,37967.0,51536.0
0.075,19811.0,39430.0,56325.0
0.08,20931.0,43010.0,65844.0
0.085,20551.0,48216.0,75914.0
0.09,20115.0,52703.0,83842.0
0.095,20772.0,55396.0,88580.0
0.1,21319.0,56596.0,90823.0
0.105,21610.0,56556.0,91400.0
0.11,21861.0,55946.0,90830.0
0.115,21974.0,55099.0,88966.0
0.12,22044.0,54260.0,86356.0
0.125,22389.0,53506.0,83968.0
0.13,22782.0,53052.0,82938.0
0.135,23060.0,52955.0,83047.0
0.14,23284.0,53322.0,84076.0
0.145,23518.0,54157.0,85710.0
0.15,23737.0,55189.0,87270.0
0.155,22856.0,55708.0,88198.0
0.16,22208.0,55874.0,88683.0
0.165,22218.0,55917.0,88841.0
0.17,22630.0,55890.0,88740.0
0.175,23198.0,55812.0,88459.0
0.18,23563.0,55649.0,88043.0
0.185,23569.0,55359.0,87601.0
0.19,23396.0,54961.0,87221.0
0.195,23356.0,54576.0,87026.0
0.2,23592.0,54386.0,87115.0
0.205,23986.0,54556.0,87539.0
0.21,24244.0,55268.0,88272.0
0.215,24329.0,56196.0,89215.0
0.22,24371.0,57121.0,90236.0
0.225,24450.0,57958.0,91065.0
0.23,24633.0,58662.0,91586.0
0.235,24789.0,59163.0,91791.0
0.24,24824.0,59442.0,91662.0
0.245,24828.0,59501.0,91329.0
0.25,24870.0,59390.0,90903.0
0.255,24929.0,59223.0,90509.0
0.26,25007.0,58850.0,90001.0
0.265,25092.0,58250.0,87498.0
0.27,25160.0,57645.0,81548.0
0.275,25216.0,58233.0,72524.0
0.28,25271.0,61424.0,63171.0
0.285,25330.0,66262.0,56696.0
0.29,25391.0,69528.0,54676.0
0.295,25453.0,69798.0,55716.0
0.3,25544.0,68100.0,56785.0
0.305,21884.0,64427.0,55440.0
0.31,9585.8,55593.0,48901.0
0.315,6939.2,45948.0,40647.0
0.32,11884.0,38158.0,35117.0
0.325,18739.0,37527.0,35148.0
0.33,19563.0,36796.0,34548.0
0.335,17248.0,39367.0,34348.0
0.34,13409.0,38691.0,38662.0
0.345,13752.0,33604.0,49233.0
0.35,16718.0,34023.0,60731.0
0.355,18716.0,43933.0,68823.0
0.36,19078.0,53591.0,73119.0
0.365,18542.0,57943.0,75223.0
0.37,18379.0,57318.0,76688.0
0.375,18942.0,54682.0,77954.0
0.38,20620.0,55200.0,78644.0
0.385,21037.0,59026.0,78440.0
0.39,20972.0,63023.0,77920.0
0.395,21077.0,62530.0,77947.0
0.4,21235.0,57441.0,79079.0
0.405,21448.0,51511.0,81232.0
0.41,21840.0,48506.0,83900.0
0.415,22245.0,47342.0,86528.0
0.42,22453.0,47608.0,88849.0
0.425,22642.0,49429.0,90626.0
0.43,22865.0,52740.0,91619.0
0.435,23107.0,55961.0,91748.0
0.44,23377.0,58288.0,91108.0
0.445,23657.0,60066.0,89917.0
0.45,23874.0,61000.0,88306.0
0.455,22885.0,60560.0,86350.0
0.46,22131.0,59339.0,84742.0
0.465,22109.0,57900.0,84047.0
0.47,22598.0,56471.0,84288.0
0.475,23197.0,55228.0,85179.0
0.48,23495.0,54290.0,86378.0
0.485,23511.0,53773.0,87592.0
0.49,23462.0,53582.0,88616.0
0.495,23529.0,53728.0,89350.0
0.5,23722.0,54020.0,89779.0
0.505,23941.0,54534.0,89951.0
0.51,24135.0,55215.0,89947.0
0.515,24278.0,55992.0,89860.0
0.52,24385.0,56845.0,89796.0
0.525,24502.0,57725.0,89780.0
0.53,24662.0,58545.0,89865.0
0.535,24766.0,59154.0,90032.0
0.54,24796.0,59566.0,90272.0
0.545,24825.0,59792.0,90539.0
0.55,24886.0,59819.0,90806.0
0.555,24955.0,59600.0,90798.0
0.56,25020.0,58858.0,89186.0
0.565,25088.0,57887.0,84170.0
0.57,25154.0,57616.0,75237.0
0.575,25215.0,60240.0,64958.0
0.58,25273.0,66460.0,57193.0
0.585,25333.0,72785.0,54169.0
0.59,25394.0,72960.0,55016.0
0.595,25456.0,68194.0,56212.0
0.6,25545.0,64378.0,55271.0
0.605,22507.0,59981.0,51864.0
0.61,9254.1,53044.0,46354.0
0.615,8111.1,47175.0,40852.0
0.62,12019.0,41907.0,37318.0
0.625,19209.0,38748.0,35636.0
0.63,19890.0,37558.0,32813.0
0.635,17746.0,40745.0,31911.0
0.64,12707.0,37856.0,36416.0
0.645,11951.0,30706.0,46370.0
0.65,17331.0,35184.0,56697.0
0.655,19506.0,46796.0,64521.0
0.66,20198.0,53249.0,69637.0
0.665,18715.0,54775.0,72825.0
0.67,16779.0,54257.0,74916.0
0.675,17718.0,54280.0,76310.0
0.68,20376.0,56915.0,77456.0
0.685,21672.0,60880.0,77637.0
0.69,21508.0,63960.0,76959.0
0.695,21071.0,62701.0,76353.0
0.7,20977.0,55737.0,77032.0
0.705,21252.0,47979.0,79511.0
0.71,21835.0,44806.0,83121.0
0.715,22323.0,44390.0,86464.0
0.72,22534.0,46155.0,89046.0
0.725,22677.0,51187.0,90535.0
0.73,22841.0,56942.0,91081.0
0.735,23074.0,59415.0,90875.0
0.74,23367.0,60290.0,90182.0
0.745,23661.0,60725.0,89349.0
0.75,23948.0,61241.0,88718.0
0.755,24051.0,61861.0,88384.0
0.76,23516.0,62164.0,88281.0
0.765,23345.0,61739.0,88336.0
0.77,23871.0,60512.0,88634.0
0.775,24310.0,57987.0,88918.0
0.78,23306.0,55527.0,88372.0
0.785,23091.0,53755.0,87733.0
0.79,23302.0,53007.0,87629.0
0.795,23346.0,53088.0,88148.0
0.8,23741.0,53639.0,88888.0
0.805,24103.0,54357.0,89533.0
0.81,24219.0,55098.0,89862.0
0.815,24230.0,55844.0,89882.0
0.82,24270.0,56606.0,89735.0
0.825,24425.0,57439.0,89669.0
0.83,24608.0,58306.0,89860.0
0.835,24043.0,59020.0,90184.0
0.84,23844.0,59415.0,90366.0
0.845,24250.0,59509.0,90164.0
0.85,24679.0,59227.0,89586.0
0.855,24884.0,58758.0,89097.0
0.86,25305.0,58163.0,88728.0
0.865,25529.0,57519.0,86725.0
0.87,25061.0,56935.0,81269.0
0.875,24886.0,57377.0,73206.0
0.88,25146.0,60597.0,65468.0
0.885,25398.0,66860.0,60473.0
0.89,25525.0,72984.0,57390.0
0.895,25523.0,74723.0,55587.0
0.9,25514.0,70552.0,54497.0
0.905,22014.0,63916.0,53026.0
0.91,9536.9,52610.0,47428.0
0.915,7032.2,43078.0,37679.0
0.92,11905.0,35449.0,26575.0
0.925,18672.0,33247.0,20418.0
0.93,19614.0,29629.0,19774.0
0.935,17321.0,29161.0,19716.0
0.94,13059.0,28776.0,21118.0
0.945,12548.0,28481.0,29220.0
0.95,16896.0,40861.0,39225.0
0.955,19483.0,56302.0,47026.0
0.96,19747.0,64628.0,51729.0
0.965,18521.0,64823.0,53441.0
0.97,17383.0,60872.0,52976.0
0.975,18009.0,56128.0,51433.0
0.98,19547.0,54272.0,49435.0
0.985,20811.0,55751.0,46928.0
0.99,20504.0,55383.0,43864.0
0.995,19202.0,51385.0,40767.0
1.0,18734.0,45468.0,38427.0
