Time_s,NB_N_per_m,LV_N_per_m,BV_N_per_m
0.0,0.87649,2.1159,2.1179
0.005,-0.45343,0.63162,0.6659
0.01,-0.54083,-0.64562,-0.65576
0.015,-0.61842,-1.7216,-2.07
0.02,-0.28156,-1.8824,-2.381
0.025,0.012283,-1.4794,-1.8562
0.03,0.076715,-1.2889,-1.6138
0.035,0.038588,-1.6018,-2.4887
0.04,-0.037028,-1.9351,-3.3462
0.045,-0.041805,-1.8588,-2.8612
0.05,-0.023303,-1.2784,-1.0833
0.055,0.0012968,-0.63737,0.040017
0.06,0.01454,-0.18084,0.26559
0.065,0.0075622,0.10868,0.49382
0.07,-0.008034,0.24032,0.84295
0.075,0.013251,0.33872,0.52339
0.08,-0.025873,0.33714,-0.83282
0.085,-0.018529,-0.063751,-1.5851
0.09,-0.0036391,-0.25628,-1.4268
0.095,0.0029328,-0.32713,-1.2462
0.1,0.0058514,-0.33287,-1.0479
0.105,6.2527e-05,-0.29197,-0.91979
0.11,-0.012322,-0.23279,-0.86054
0.115,-0.014797,-0.1321,-0.70321
0.12,0.00020086,-0.068668,-0.44399
0.125,0.0066238,-0.012524,-0.17418
0.13,0.0020972,0.039866,-0.0056558
0.135,-0.0034413,0.075352,0.080684
0.14,-0.0056209,0.088514,0.10459
0.145,-0.0041961,0.078757,0.088171
0.15,-0.039933,0.0054116,0.0029313
0.155,-0.017878,-0.10637,-0.069168
0.16,0.014302,-0.072697,-0.040454
0.165,0.021653,-0.051544,-0.016174
0.17,0.006752,-0.048397,0.0042887
0.175,-0.011033,-0.052782,0.021846
0.18,-0.017037,-0.057045,0.036289
0.185,-0.0094154,-0.047983,0.046684
0.19,0.0042246,-0.019224,0.057655
0.195,0.0094137,0.024901,0.064835
0.2,0.0034387,0.069375,0.068763
0.205,-0.0065582,0.093417,0.067422
0.21,-0.0082541,0.078786,0.059287
0.215,-0.0042014,0.046129,0.047719
0.22,-0.00034476,0.010652,0.01806
0.225,0.0021854,-0.018341,0.0044667
0.23,-6.3415e-05,-0.02843,-0.01121
0.235,-0.0055313,-0.047396,-0.026813
0.24,-0.0050461,-0.051197,-0.030183
0.245,-0.0023136,-0.043297,-0.023328
0.25,0.00063372,-0.030734,-0.0081622
0.255,0.0013734,-0.011596,0.011999
0.26,-0.00061523,-0.0012117,-0.25675
0.265,-0.0022738,0.035981,-0.467
0.27,-0.0023462,-0.058565,-0.79241
0.275,-0.0017472,-0.19485,-0.86141
0.28,-0.0012282,-0.31677,-0.5982
0.285,-0.001069,-0.31723,-0.14501
0.29,-0.0010723,-0.16108,0.10903
0.295,-0.0011527,0.072046,0.13681
0.3,-0.085006,0.16746,0.14377
0.305,-0.4138,-0.26228,-0.13204
0.31,-0.13178,-0.29035,-0.07623
0.315,0.2431,-0.29339,-0.0446
0.32,-0.17952,-0.18287,0.05406
0.325,-0.18634,-0.047169,0.21816
0.33,-0.40995,0.14131,0.36368
0.335,-0.47831,0.51659,0.28483
0.34,-0.043838,0.368,-0.22217
0.345,0.10763,-0.34841,-0.63866
0.35,-0.016451,-0.81305,-0.74305
0.355,-0.094082,-0.92088,-0.71476
0.36,-0.11286,-0.94652,-0.62916
0.365,-0.061422,-1.2603,-0.57772
0.37,0.0044013,-1.2532,-0.63526
0.375,0.047931,-0.6671,-0.70644
0.38,-0.024103,-0.25852,-0.79423
0.385,-0.043906,-0.44958,-0.80106
0.39,-0.030215,-0.8212,-0.5628
0.395,-0.002023,-0.83364,-0.22624
0.4,0.016469,-0.5709,0.039542
0.405,0.01187,0.0052143,0.099478
0.41,-0.0088949,0.5182,0.056575
0.415,-0.021184,0.73952,-0.0093718
0.42,-0.010083,0.36754,-0.082104
0.425,0.002254,-0.25565,-0.14816
0.43,0.0033371,-0.49351,-0.19615
0.435,-0.0008115,-0.61789,-0.21706
0.44,-0.0043597,-0.59136,-0.1956
0.445,-0.0041278,-0.52867,-0.12293
0.45,-0.040507,-0.52517,-0.073107
0.455,-0.016878,-0.57344,-0.070475
0.46,0.019698,-0.3838,0.087986
0.465,0.027135,-0.19261,0.14887
0.47,0.0056841,-0.086787,0.163
0.475,-0.011566,-0.024623,0.13168
0.48,-0.013479,0.020245,0.081007
0.485,-0.0067049,0.05825,0.031693
0.49,0.0020111,0.089693,-0.0082907
0.495,0.0037068,0.10358,-0.031053
0.5,0.00072527,0.10755,-0.037137
0.505,-0.0021665,0.089142,-0.030454
0.51,-0.0032962,0.058237,-0.01619
0.515,-0.0023801,0.024348,0.00091258
0.52,-0.00070702,-0.006883,0.017211
0.525,0.0015557,-0.030096,0.031793
0.53,-0.00047473,-0.04765,0.037794
0.535,-0.0038268,-0.057663,0.036626
0.54,-0.0033036,-0.060233,0.026623
0.545,-0.0014888,-0.055898,0.015209
0.55,0.00049419,-0.045831,-0.00017396
0.555,0.0010814,-0.035555,-0.17623
0.56,-8.2023e-05,0.0088894,-0.47104
0.565,-0.0012823,-0.027156,-0.77263
0.57,-0.0017415,-0.15006,-0.87557
0.575,-0.001253,-0.34653,-0.65073
0.58,-0.00058932,-0.45452,-0.19691
0.585,-0.00034477,-0.2049,0.11246
0.59,-0.00040707,0.13157,0.14622
0.595,-0.00047049,0.36723,0.22028
0.6,-0.084382,0.28738,0.21018
0.605,-0.4027,-0.16181,-0.019857
0.61,-0.12718,-0.20909,-0.096688
0.615,0.24453,-0.14222,-0.19782
0.62,-0.22884,-0.078454,-0.16079
0.625,-0.15559,-0.18311,0.032509
0.63,-0.47474,0.11418,0.32929
0.635,-0.63024,0.56972,0.41819
0.64,-0.20847,0.5256,0.079514
0.645,0.2147,-0.369,-0.40333
0.65,-0.13371,-0.97025,-0.65149
0.655,-0.21533,-1.027,-0.69802
0.66,-0.26442,-1.0699,-0.66406
0.665,-0.21874,-0.99156,-0.63983
0.67,0.1207,-0.69333,-0.69159
0.675,0.12601,-0.34767,-0.73021
0.68,-0.067722,-0.3647,-0.77862
0.685,-0.11537,-0.68685,-0.79239
0.69,-0.0694,-0.93404,-0.56097
0.695,-0.001365,-0.91447,-0.25228
0.7,0.037312,-0.69339,0.14903
0.705,0.019762,0.091872,0.2102
0.71,-0.015019,0.91332,0.072487
0.715,-0.027508,1.129,-0.057925
0.72,-0.011593,-0.03934,-0.15061
0.725,0.0026532,-1.3819,-0.20606
0.73,0.0049415,-1.5968,-0.22374
0.735,-0.00023747,-1.3375,-0.2003
0.74,-0.0043858,-1.0176,-0.13969
0.745,-0.0040629,-0.6612,-0.058553
0.75,-0.0024351,-0.38955,0.0072331
0.755,-0.013443,-0.25454,0.037794
0.76,0.0012214,-0.18513,0.050751
0.765,0.010575,-0.11806,0.054035
0.77,0.0036227,-0.074698,0.048074
0.775,-0.047469,-0.10345,-0.06698
0.78,-0.0013845,-0.011056,-0.064874
0.785,0.019294,0.10253,0.016381
0.79,0.02129,0.16827,0.057768
0.795,0.0076421,0.17633,0.058442
0.8,-0.0094292,0.14545,0.041603
0.805,-0.011617,0.090318,0.020422
0.81,-0.0041265,0.031547,0.0026719
0.815,0.0037591,-0.022749,-0.0051082
0.82,0.0053461,-0.058159,-0.0048316
0.825,0.0016712,-0.083922,-0.00019225
0.83,-0.017324,-0.10742,-0.010168
0.835,-0.0014165,-0.1253,-0.026912
0.84,0.010159,-0.12557,-0.028792
0.845,0.0052953,-0.11068,-0.0054728
0.85,-0.0021403,-0.085365,0.040491
0.855,0.0020657,-0.024005,0.090513
0.86,-0.0069255,0.02476,-0.14991
0.865,-0.01218,0.047754,-0.37647
0.87,0.0014093,-0.016965,-0.61638
0.875,0.0071249,-0.15406,-0.63769
0.88,0.0017068,-0.3252,-0.45761
0.885,-0.0018344,-0.41267,-0.1841
0.89,-0.0027325,-0.27083,0.018139
0.895,-0.0018983,0.088213,0.13029
0.9,-0.063753,0.26497,0.10233
0.905,-0.40792,-0.13686,-0.36577
0.91,-0.11234,-0.13771,-0.47585
0.915,0.26046,-0.10059,-0.42825
0.92,-0.2293,0.069206,-0.18717
0.925,-0.21055,0.19072,0.19832
0.93,-0.4381,0.31345,0.51616
0.935,-0.51529,0.42217,0.40959
0.94,-0.045892,0.04343,-0.16676
0.945,0.1798,-0.53679,-0.62616
0.95,-0.073843,-0.70701,-0.67474
0.955,-0.21075,-0.56775,-0.65758
0.96,-0.20943,-0.55905,-0.62976
0.965,-0.082299,-0.86666,-0.70505
0.97,0.078427,-0.94367,-0.72907
0.975,0.093661,-0.57453,-0.73741
0.98,-0.0082646,-0.3952,-0.73889
0.985,-0.087155,-0.36257,-0.66268
0.99,-0.083946,-0.44129,-0.42429
0.995,-0.0089181,-0.39921,-0.14781
1.0,0.042374,-0.16312,0.065226
