Time (s),Pressure (Pa)
0.0,11000.0
0.005,11000.0
0.01,11000.0
0.015,11000.0
0.02,10922.0
0.025,10948.0
0.03,11004.0
0.035,11000.0
0.04,11000.0
0.045,11000.0
0.05,11000.0
0.055,11000.0
0.06,11000.0
0.065,11000.0
0.07,11000.0
0.075,11399.0
0.08,11704.0
0.085,11800.0
0.09,11800.0
0.095,11800.0
0.1,11800.0
0.105,11799.0
0.11,11773.0
0.115,11794.0
0.12,11798.0
0.125,11800.0
0.13,11800.0
0.135,11800.0
0.14,11800.0
0.145,11800.0
0.15,11150.0
0.155,10500.0
0.16,10479.0
0.165,10501.0
0.17,10500.0
0.175,10500.0
0.18,10500.0
0.185,10500.0
0.19,10500.0
0.195,10500.0
0.2,10500.0
0.205,10500.0
0.21,10500.0
0.215,10500.0
0.22,10500.0
0.225,10310.0
0.23,9762.2
0.235,9800.2
0.24,9799.0
0.245,9799.6
0.25,9800.3
0.255,9800.2
0.26,9800.1
0.265,9800.1
0.27,9800.0
0.275,9800.0
0.28,9800.0
0.285,9800.0
0.29,9800.0
0.295,9800.0
0.3,10256.0
0.305,8142.6
0.31,10912.0
0.315,11000.0
0.32,11000.0
0.325,11000.0
0.33,10732.0
0.335,10641.0
0.34,10974.0
0.345,11000.0
0.35,11000.0
0.355,10990.0
0.36,10988.0
0.365,11000.0
0.37,11000.0
0.375,11398.0
0.38,11735.0
0.385,11800.0
0.39,11800.0
0.395,11800.0
0.4,11800.0
0.405,11795.0
0.41,11794.0
0.415,11800.0
0.42,11800.0
0.425,11800.0
0.43,11798.0
0.435,11799.0
0.44,11800.0
0.445,11799.0
0.45,11147.0
0.455,10495.0
0.46,10474.0
0.465,10500.0
0.47,10500.0
0.475,10500.0
0.48,10500.0
0.485,10499.0
0.49,10499.0
0.495,10500.0
0.5,10500.0
0.505,10500.0
0.51,10500.0
0.515,10499.0
0.52,10499.0
0.525,10181.0
0.53,9767.3
0.535,9799.4
0.54,9799.9
0.545,9800.0
0.55,9800.2
0.555,9800.0
0.56,9799.8
0.565,9800.0
0.57,9800.2
0.575,9800.2
0.58,9800.2
0.585,9800.1
0.59,9800.1
0.595,9800.1
0.6,10256.0
0.605,7508.4
0.61,11001.0
0.615,11000.0
0.62,11001.0
0.625,11000.0
0.63,10608.0
0.635,10526.0
0.64,11001.0
0.645,11000.0
0.65,11000.0
0.655,10988.0
0.66,10815.0
0.665,10994.0
0.67,11000.0
0.675,11295.0
0.68,11635.0
0.685,11778.0
0.69,11800.0
0.695,11800.0
0.7,11800.0
0.705,11794.0
0.71,11799.0
0.715,11800.0
0.72,11800.0
0.725,11800.0
0.73,11798.0
0.735,11799.0
0.74,11800.0
0.745,11800.0
0.75,11795.0
0.755,11741.0
0.76,11790.0
0.765,11801.0
0.77,11800.0
0.775,11057.0
0.78,10500.0
0.785,10476.0
0.79,10485.0
0.795,10500.0
0.8,10500.0
0.805,10500.0
0.81,10500.0
0.815,10499.0
0.82,10499.0
0.825,10498.0
0.83,10427.0
0.835,10488.0
0.84,10500.0
0.845,10500.0
0.85,10204.0
0.855,9800.4
0.86,9797.7
0.865,9758.7
0.87,9788.8
0.875,9800.2
0.88,9800.4
0.885,9800.4
0.89,9799.8
0.895,9798.0
0.9,10128.0
0.905,8059.9
0.91,10927.0
0.915,11000.0
0.92,11000.0
0.925,11000.0
0.93,10715.0
0.935,10626.0
0.94,11006.0
0.945,11000.0
0.95,11000.0
0.955,10985.0
0.96,10926.0
0.965,10997.0
0.97,11000.0
0.975,11000.0
0.98,10963.0
0.985,10920.0
0.99,10981.0
0.995,11000.0
1.0,11000.0
