time_s,velocity_cm_s
0.0,0.0013822
0.005,26.787
0.01,22.595
0.015,5.6308
0.02,7.4797
0.025,5.1482
0.03,2.6913
0.035,8.2138
0.04,8.7782
0.045,5.5324
0.05,2.8071
0.055,2.0953
0.06,3.8134
0.065,6.2028
0.07,7.0371
0.075,3.394
0.08,9.0539
0.085,2.5586
0.09,3.5224
0.095,4.8404
0.1,6.1573
0.105,1.5898
0.11,4.9406
0.115,3.2795
0.12,6.0497
0.125,4.8132
0.13,2.8464
0.135,2.1678
0.14,2.477
0.145,3.0265
0.15,3.7736
0.155,2.175
0.16,2.2447
0.165,0.63457
0.17,2.9058
0.175,2.9414
0.18,2.1557
0.185,1.242
0.19,0.66749
0.195,0.85087
0.2,1.8517
0.205,2.9165
0.21,2.4031
0.215,1.5312
0.22,1.1562
0.225,1.0545
0.23,0.76676
0.235,0.99053
0.24,1.2777
0.245,1.2265
0.25,1.0798
0.255,1.1194
0.26,0.96125
0.265,0.91017
0.27,0.96428
0.275,0.9754
0.28,0.94191
0.285,0.91249
0.29,0.89386
0.295,0.88346
0.3,12.555
0.305,123.84
0.31,9.9415
0.315,15.354
0.32,33.176
0.325,33.442
0.33,24.591
0.335,28.618
0.34,10.834
0.345,17.659
0.35,13.04
0.355,7.1566
0.36,7.4568
0.365,8.4646
0.37,10.168
0.375,8.7196
0.38,10.731
0.385,8.4324
0.39,8.8338
0.395,8.8712
0.4,8.7053
0.405,7.5483
0.41,7.0729
0.415,7.6452
0.42,8.6704
0.425,7.8005
0.43,6.7718
0.435,6.3726
0.44,6.5195
0.445,6.6392
0.45,6.7951
0.455,5.4621
0.46,6.0803
0.465,5.3562
0.47,6.6036
0.475,6.084
0.48,5.3204
0.485,4.6634
0.49,4.3191
0.495,4.3077
0.5,4.4807
0.505,4.5283
0.51,4.3635
0.515,4.0336
0.52,3.7367
0.525,3.4001
0.53,3.0903
0.535,3.1318
0.54,3.2688
0.545,3.2485
0.55,3.1202
0.555,2.9491
0.56,2.7371
0.565,2.6387
0.57,2.6469
0.575,2.6636
0.58,2.5934
0.585,2.4935
0.59,2.423
0.595,2.3533
0.6,12.796
0.605,140.13
0.61,8.8854
0.615,9.7905
0.62,36.364
0.625,43.108
0.63,33.563
0.635,35.622
0.64,23.025
0.645,19.336
0.65,14.88
0.655,9.0149
0.66,18.622
0.665,9.0558
0.67,22.938
0.675,9.1934
0.68,18.105
0.685,10.375
0.69,11.45
0.695,10.997
0.7,9.276
0.705,7.3943
0.71,7.207
0.715,8.6945
0.72,9.2351
0.725,8.2245
0.73,7.2058
0.735,6.9593
0.74,7.2775
0.745,7.4222
0.75,6.2596
0.755,8.2664
0.76,5.3707
0.765,6.1628
0.77,6.9788
0.775,8.3541
0.78,11.229
0.785,5.5501
0.79,5.2625
0.795,5.441
0.8,5.5618
0.805,5.9132
0.81,5.637
0.815,4.86
0.82,4.398
0.825,4.2152
0.83,8.6891
0.835,4.6281
0.84,4.8008
0.845,5.3195
0.85,5.8998
0.855,8.0636
0.86,3.787
0.865,6.7061
0.87,4.7601
0.875,4.0725
0.88,4.6068
0.885,4.6844
0.89,3.8853
0.895,3.5077
0.9,13.885
0.905,126.44
0.91,8.7972
0.915,13.923
0.92,34.145
0.925,33.33
0.93,25.389
0.935,29.705
0.94,15.49
0.945,21.622
0.95,13.631
0.955,7.7313
0.96,10.611
0.965,7.6485
0.97,15.697
0.975,12.213
0.98,9.0394
0.985,11.479
0.99,7.1344
0.995,7.2563
1.0,7.0686
