time_s,von_mises_stress_N_per_m
0.0,0.66263
0.005,2693.8
0.01,9297.6
0.015,11339.0
0.02,9746.0
0.025,7989.8
0.03,8109.1
0.035,9493.7
0.04,11101.0
0.045,11995.0
0.05,12397.0
0.055,12667.0
0.06,13131.0
0.065,13958.0
0.07,14987.0
0.075,15835.0
0.08,14632.0
0.085,15109.0
0.09,15938.0
0.095,15739.0
0.1,16399.0
0.105,17186.0
0.11,17419.0
0.115,17574.0
0.12,18050.0
0.125,18543.0
0.13,18996.0
0.135,19432.0
0.14,19840.0
0.145,20249.0
0.15,20686.0
0.155,21305.0
0.16,20800.0
0.165,20665.0
0.17,21203.0
0.175,21759.0
0.18,22061.0
0.185,22173.0
0.19,22233.0
0.195,22344.0
0.2,22598.0
0.205,22999.0
0.21,23325.0
0.215,23504.0
0.22,23657.0
0.225,23820.0
0.23,23903.0
0.235,23993.0
0.24,24148.0
0.245,24248.0
0.25,24296.0
0.255,24403.0
0.26,24554.0
0.265,24671.0
0.27,24778.0
0.275,24886.0
0.28,24995.0
0.285,25104.0
0.29,25215.0
0.295,25325.0
0.3,25347.0
0.305,9201.2
0.31,6590.3
0.315,7632.2
0.32,5159.8
0.325,10663.0
0.33,14072.0
0.335,11054.0
0.34,9218.1
0.345,9875.9
0.35,11708.0
0.355,13684.0
0.36,14346.0
0.365,14267.0
0.37,14527.0
0.375,15280.0
0.38,14546.0
0.385,15452.0
0.39,16081.0
0.395,16031.0
0.4,16298.0
0.405,16909.0
0.41,17439.0
0.415,17787.0
0.42,18209.0
0.425,18633.0
0.43,19030.0
0.435,19440.0
0.44,19870.0
0.445,20312.0
0.45,20774.0
0.455,21288.0
0.46,20716.0
0.465,20554.0
0.47,21222.0
0.475,21769.0
0.48,22027.0
0.485,22153.0
0.49,22265.0
0.495,22438.0
0.5,22697.0
0.505,22977.0
0.51,23240.0
0.515,23467.0
0.52,23668.0
0.525,23833.0
0.53,23905.0
0.535,23990.0
0.54,24124.0
0.545,24233.0
0.55,24317.0
0.555,24427.0
0.56,24557.0
0.565,24668.0
0.57,24771.0
0.575,24881.0
0.58,24995.0
0.585,25106.0
0.59,25217.0
0.595,25327.0
0.6,25348.0
0.605,9268.9
0.61,7314.8
0.615,8891.0
0.62,4348.2
0.625,11214.0
0.63,15085.0
0.635,10887.0
0.64,8809.3
0.645,10191.0
0.65,10843.0
0.655,14985.0
0.66,16209.0
0.665,13537.0
0.67,13748.0
0.675,15262.0
0.68,14677.0
0.685,15867.0
0.69,16497.0
0.695,16088.0
0.7,16174.0
0.705,16780.0
0.71,17386.0
0.715,17895.0
0.72,18283.0
0.725,18639.0
0.73,19011.0
0.735,19420.0
0.74,19862.0
0.745,20314.0
0.75,20694.0
0.755,19917.0
0.76,19773.0
0.765,20036.0
0.77,20385.0
0.775,20902.0
0.78,22751.0
0.785,22382.0
0.79,21673.0
0.795,22348.0
0.8,22834.0
0.805,23053.0
0.81,23268.0
0.815,23462.0
0.82,23614.0
0.825,23787.0
0.83,22999.0
0.835,22706.0
0.84,22933.0
0.845,23147.0
0.85,23545.0
0.855,24617.0
0.86,25073.0
0.865,24684.0
0.87,24711.0
0.875,24757.0
0.88,24842.0
0.885,25144.0
0.89,25359.0
0.895,25388.0
0.9,25279.0
0.905,8995.8
0.91,6623.5
0.915,7751.9
0.92,4911.6
0.925,10786.0
0.93,14050.0
0.935,11117.0
0.94,8871.1
0.945,9916.6
0.95,11335.0
0.955,14337.0
0.96,15279.0
0.965,14094.0
0.97,13790.0
0.975,15055.0
0.98,16130.0
0.985,16532.0
0.99,16447.0
0.995,15619.0
1.0,15160.0
