Time_s,Mitral_Total_Stress_X_N_per_m
0.0,-0.32706
0.005,0.46405
0.01,-0.27617
0.015,-0.38244
0.02,-0.20151
0.025,0.081372
0.03,0.14642
0.035,0.098331
0.04,-0.046827
0.045,-0.077704
0.05,-0.051559
0.055,-0.0027238
0.06,0.031213
0.065,0.020432
0.07,-0.016342
0.075,-0.42265
0.08,0.21869
0.085,0.11968
0.09,-0.19545
0.095,0.073634
0.1,0.011227
0.105,-0.13197
0.11,-0.02796
0.115,0.063557
0.12,-0.010007
0.125,-0.043193
0.13,-0.03136
0.135,-0.022861
0.14,-0.015379
0.145,-0.012589
0.15,0.069336
0.155,-0.18991
0.16,-0.050282
0.165,0.072723
0.17,0.0083317
0.175,-0.045095
0.18,-0.042373
0.185,-0.027474
0.19,-0.018496
0.195,-0.001908
0.2,0.0088077
0.205,-0.011533
0.21,-0.035026
0.215,-0.030063
0.22,-0.018147
0.225,-0.018973
0.23,-0.025483
0.235,0.0010693
0.24,-0.018723
0.245,-0.027492
0.25,-0.009432
0.255,-0.0075451
0.26,-0.019165
0.265,-0.017309
0.27,-0.015098
0.275,-0.015369
0.28,-0.015888
0.285,-0.015944
0.29,-0.015817
0.295,-0.015589
0.3,-3.0705
0.305,3.3059
0.31,2.0435
0.315,-0.71416
0.32,0.84974
0.325,0.028153
0.33,-1.1382
0.335,0.40351
0.34,0.34517
0.345,0.037513
0.35,0.024892
0.355,-0.15576
0.36,-0.081996
0.365,0.018233
0.37,0.042036
0.375,-0.30827
0.38,0.18488
0.385,0.083529
0.39,-0.093255
0.395,0.008722
0.4,0.029657
0.405,-0.046156
0.41,-0.039328
0.415,0.030394
0.42,0.0027617
0.425,-0.03096
0.43,-0.027082
0.435,-0.015129
0.44,-0.0084207
0.445,-0.011291
0.45,0.059882
0.455,-0.17709
0.46,-0.024727
0.465,0.097845
0.47,-0.0020292
0.475,-0.047021
0.48,-0.039907
0.485,-0.026282
0.49,-0.016101
0.495,-0.0063192
0.5,-0.0079503
0.505,-0.015167
0.51,-0.020935
0.515,-0.021707
0.52,-0.018548
0.525,-0.027026
0.53,-0.023795
0.535,-0.0016519
0.54,-0.013992
0.545,-0.021372
0.55,-0.013819
0.555,-0.012319
0.56,-0.018121
0.565,-0.016676
0.57,-0.013072
0.575,-0.013226
0.58,-0.015299
0.585,-0.016178
0.59,-0.015988
0.595,-0.015794
0.6,-3.0876
0.605,4.7705
0.61,2.1048
0.615,-1.2373
0.62,1.404
0.625,0.19216
0.63,-1.4679
0.635,0.65175
0.64,0.47992
0.645,-0.47425
0.65,0.67602
0.655,-0.46147
0.66,-0.39722
0.665,0.49815
0.67,0.097979
0.675,-0.40477
0.68,0.103
0.685,0.12419
0.69,-0.08142
0.695,-0.020278
0.7,0.011871
0.705,-0.036429
0.71,-0.0070672
0.715,0.011031
0.72,-0.016423
0.725,-0.030236
0.73,-0.024858
0.735,-0.012322
0.74,-0.0064668
0.745,-0.011586
0.75,-0.19323
0.755,0.030565
0.76,0.064788
0.765,-0.0073559
0.77,-0.0024823
0.775,0.26505
0.78,-0.32661
0.785,-0.22625
0.79,0.18373
0.795,0.010196
0.8,-0.045888
0.805,-0.012824
0.81,-0.019779
0.815,-0.032095
0.82,-0.017551
0.825,-0.18158
0.83,0.05018
0.835,0.089191
0.84,-0.0073053
0.845,0.001375
0.85,0.077415
0.855,-0.069456
0.86,-0.18234
0.865,0.054752
0.87,0.0018792
0.875,-0.017471
0.88,0.02475
0.885,-0.018473
0.89,-0.050493
0.895,-0.030845
0.9,-3.1479
0.905,3.4757
0.91,1.7775
0.915,-0.78675
0.92,1.0061
0.925,0.0032078
0.93,-1.1
0.935,0.38926
0.94,0.48197
0.945,-0.2164
0.95,0.26427
0.955,-0.26594
0.96,-0.21715
0.965,0.16308
0.97,0.15826
0.975,-0.049081
0.98,-0.20994
0.985,-0.021372
0.99,0.003255
0.995,-0.028291
1.0,0.028232
