Time_s,Pressure_Pa
0.0,4000.2
0.005,1868.0
0.01,2615.1
0.015,3925.0
0.02,4000.4
0.025,4000.1
0.03,3951.6
0.035,3770.9
0.04,3804.6
0.045,3941.8
0.05,4001.8
0.055,3999.7
0.06,3959.8
0.065,3910.3
0.07,3905.5
0.075,4334.9
0.08,4744.4
0.085,4800.0
0.09,4792.9
0.095,4766.4
0.1,4758.7
0.105,4755.3
0.11,4772.2
0.115,4798.6
0.12,4797.3
0.125,4773.0
0.13,4763.1
0.135,4768.6
0.14,4776.9
0.145,4779.6
0.15,4144.5
0.155,3500.1
0.16,3499.6
0.165,3469.8
0.17,3432.5
0.175,3447.4
0.18,3486.2
0.185,3498.9
0.19,3499.8
0.195,3475.6
0.2,3460.9
0.205,3464.1
0.21,3487.2
0.215,3499.1
0.22,3498.6
0.225,3298.5
0.23,2746.1
0.235,2789.1
0.24,2798.4
0.245,2799.7
0.25,2799.5
0.255,2794.0
0.26,2790.7
0.265,2793.8
0.27,2797.2
0.275,2798.2
0.28,2798.1
0.285,2797.6
0.29,2796.9
0.295,2797.1
0.3,3400.1
0.305,4002.1
0.31,3999.7
0.315,3836.1
0.32,2958.3
0.325,3284.1
0.33,3983.5
0.335,4000.4
0.34,3998.0
0.345,3880.4
0.35,3622.6
0.355,3769.7
0.36,3979.7
0.365,4000.1
0.37,4000.0
0.375,4317.7
0.38,4635.8
0.385,4752.5
0.39,4799.9
0.395,4800.3
0.4,4788.7
0.405,4749.0
0.41,4738.2
0.415,4773.1
0.42,4799.1
0.425,4790.7
0.43,4772.3
0.435,4769.6
0.44,4772.0
0.445,4776.1
0.45,4144.4
0.455,3500.3
0.46,3500.1
0.465,3468.5
0.47,3413.5
0.475,3441.8
0.48,3486.1
0.485,3495.7
0.49,3500.2
0.495,3488.3
0.5,3479.5
0.505,3480.4
0.51,3486.6
0.515,3493.9
0.52,3494.6
0.525,3171.9
0.53,2754.0
0.535,2792.8
0.54,2799.9
0.545,2800.0
0.55,2799.6
0.555,2796.4
0.56,2793.9
0.565,2795.3
0.57,2797.7
0.575,2798.9
0.58,2798.6
0.585,2798.0
0.59,2797.8
0.595,2797.5
0.6,3400.2
0.605,4001.5
0.61,3998.8
0.615,3771.0
0.62,2836.4
0.625,3196.1
0.63,3990.3
0.635,4000.5
0.64,4000.2
0.645,3827.5
0.65,3287.2
0.655,3628.0
0.66,3993.4
0.665,4002.9
0.67,4000.8
0.675,4074.6
0.68,4323.7
0.685,4647.3
0.69,4800.1
0.695,4800.4
0.7,4797.1
0.705,4722.1
0.71,4716.5
0.715,4769.3
0.72,4799.7
0.725,4797.1
0.73,4778.1
0.735,4768.1
0.74,4769.9
0.745,4775.0
0.75,4780.8
0.755,4800.1
0.76,4800.2
0.765,4788.7
0.77,4757.3
0.775,4048.3
0.78,3500.2
0.785,3500.2
0.79,3481.4
0.795,3445.3
0.8,3453.0
0.805,3487.4
0.81,3499.9
0.815,3500.0
0.82,3487.0
0.825,3476.6
0.83,3500.2
0.835,3500.3
0.84,3496.0
0.845,3468.6
0.85,3172.9
0.855,2769.2
0.86,2773.7
0.865,2798.3
0.87,2800.3
0.875,2794.5
0.88,2778.9
0.885,2784.6
0.89,2795.2
0.895,2800.3
0.9,3280.5
0.905,4002.0
0.91,3999.8
0.915,3827.1
0.92,2922.4
0.925,3272.1
0.93,3990.4
0.935,4000.4
0.94,4000.1
0.945,3865.0
0.95,3377.2
0.955,3647.1
0.96,3998.8
0.965,4000.4
0.97,4000.6
0.975,3858.0
0.98,3698.2
0.985,3872.7
0.99,4006.6
0.995,4000.2
1.0,3999.0
