Time (s),Velocity magnitude (cm/s)
0.0,0.051592
0.005,101.02
0.01,75.545
0.015,6.9912
0.02,37.339
0.025,24.523
0.03,4.2259
0.035,18.932
0.04,16.752
0.045,6.3684
0.05,3.8139
0.055,3.824
0.06,5.119
0.065,8.902
0.07,9.1086
0.075,6.6967
0.08,5.8965
0.085,3.2741
0.09,2.3642
0.095,4.05
0.1,4.7099
0.105,4.9543
0.11,3.6236
0.115,2.196
0.12,2.1874
0.125,3.5014
0.13,4.2364
0.135,3.7776
0.14,3.1384
0.145,2.9163
0.15,2.0476
0.155,10.579
0.16,5.9813
0.165,4.0085
0.17,6.7739
0.175,5.5325
0.18,2.3607
0.185,3.1652
0.19,2.8023
0.195,4.1888
0.2,4.4277
0.205,4.0917
0.21,2.3767
0.215,1.7915
0.22,1.7475
0.225,2.1094
0.23,2.6507
0.235,2.018
0.24,1.4868
0.245,1.5486
0.25,1.553
0.255,1.6565
0.26,1.7984
0.265,1.6282
0.27,1.4331
0.275,1.3914
0.28,1.349
0.285,1.3539
0.29,1.3587
0.295,1.2989
0.3,3.7057
0.305,88.324
0.31,90.88
0.315,13.705
0.32,61.759
0.325,46.916
0.33,3.5118
0.335,35.714
0.34,27.186
0.345,10.742
0.35,28.613
0.355,19.078
0.36,2.8861
0.365,7.7446
0.37,2.9222
0.375,7.9835
0.38,14.269
0.385,5.0528
0.39,2.3053
0.395,2.7011
0.4,2.3616
0.405,5.2691
0.41,6.0405
0.415,3.1522
0.42,1.6675
0.425,1.9381
0.43,3.0523
0.435,3.2118
0.44,3.0308
0.445,2.6879
0.45,1.245
0.455,11.095
0.46,6.1879
0.465,3.2851
0.47,7.9986
0.475,5.6146
0.48,1.9882
0.485,1.4752
0.49,1.193
0.495,1.7335
0.5,2.3305
0.505,2.2521
0.51,1.7824
0.515,1.3693
0.52,1.2799
0.525,1.5318
0.53,1.8097
0.535,1.3085
0.54,0.88785
0.545,0.82562
0.55,0.83575
0.555,1.0364
0.56,1.1546
0.565,1.0733
0.57,0.9102
0.575,0.81561
0.58,0.81809
0.585,0.8447
0.59,0.84835
0.595,0.85274
0.6,3.521
0.605,92.463
0.61,100.1
0.615,18.633
0.62,66.822
0.625,51.131
0.63,3.5778
0.635,39.035
0.64,40.613
0.645,15.047
0.65,46.824
0.655,28.283
0.66,3.5344
0.665,31.368
0.67,17.265
0.675,19.72
0.68,34.503
0.685,13.276
0.69,5.9838
0.695,8.7873
0.7,2.2255
0.705,7.5586
0.71,8.0121
0.715,3.7876
0.72,2.137
0.725,2.0983
0.73,3.0219
0.735,3.6798
0.74,3.494
0.745,3.0738
0.75,2.623
0.755,2.7303
0.76,3.2675
0.765,2.1609
0.77,4.3884
0.775,1.8919
0.78,9.7855
0.785,3.782
0.79,2.5712
0.795,5.4043
0.8,4.767
0.805,2.0838
0.81,1.5322
0.815,1.3805
0.82,1.9688
0.825,2.7143
0.83,1.9508
0.835,4.3951
0.84,1.2306
0.845,3.4149
0.85,3.3126
0.855,3.2904
0.86,2.8977
0.865,2.0325
0.87,3.1048
0.875,1.2036
0.88,2.4002
0.885,1.9439
0.89,1.2468
0.895,0.99217
0.9,3.2974
0.905,89.749
0.91,92.097
0.915,15.04
0.92,63.258
0.925,47.484
0.93,3.5608
0.935,36.522
0.94,33.879
0.945,12.023
0.95,42.278
0.955,27.092
0.96,3.2711
0.965,21.092
0.97,11.709
0.975,12.827
0.98,23.809
0.985,11.166
0.99,11.214
0.995,15.7
1.0,5.0953
