time_s,von_mises_stress_N_per_m
0.0,0.19192
0.005,7116.9
0.01,16393.0
0.015,19551.0
0.02,16632.0
0.025,13473.0
0.03,13074.0
0.035,14559.0
0.04,16567.0
0.045,17473.0
0.05,17543.0
0.055,17345.0
0.06,17423.0
0.065,18047.0
0.07,18991.0
0.075,19811.0
0.08,20931.0
0.085,20551.0
0.09,20115.0
0.095,20772.0
0.1,21319.0
0.105,21610.0
0.11,21861.0
0.115,21974.0
0.12,22044.0
0.125,22389.0
0.13,22782.0
0.135,23060.0
0.14,23284.0
0.145,23518.0
0.15,23737.0
0.155,22856.0
0.16,22208.0
0.165,22218.0
0.17,22630.0
0.175,23198.0
0.18,23563.0
0.185,23569.0
0.19,23396.0
0.195,23356.0
0.2,23592.0
0.205,23986.0
0.21,24244.0
0.215,24329.0
0.22,24371.0
0.225,24450.0
0.23,24633.0
0.235,24789.0
0.24,24824.0
0.245,24828.0
0.25,24870.0
0.255,24929.0
0.26,25007.0
0.265,25092.0
0.27,25160.0
0.275,25216.0
0.28,25271.0
0.285,25330.0
0.29,25391.0
0.295,25453.0
0.3,25544.0
0.305,21884.0
0.31,9585.8
0.315,6939.2
0.32,11884.0
0.325,18739.0
0.33,19563.0
0.335,17248.0
0.34,13409.0
0.345,13752.0
0.35,16718.0
0.355,18716.0
0.36,19078.0
0.365,18542.0
0.37,18379.0
0.375,18942.0
0.38,20620.0
0.385,21037.0
0.39,20972.0
0.395,21077.0
0.4,21235.0
0.405,21448.0
0.41,21840.0
0.415,22245.0
0.42,22453.0
0.425,22642.0
0.43,22865.0
0.435,23107.0
0.44,23377.0
0.445,23657.0
0.45,23874.0
0.455,22885.0
0.46,22131.0
0.465,22109.0
0.47,22598.0
0.475,23197.0
0.48,23495.0
0.485,23511.0
0.49,23462.0
0.495,23529.0
0.5,23722.0
0.505,23941.0
0.51,24135.0
0.515,24278.0
0.52,24385.0
0.525,24502.0
0.53,24662.0
0.535,24766.0
0.54,24796.0
0.545,24825.0
0.55,24886.0
0.555,24955.0
0.56,25020.0
0.565,25088.0
0.57,25154.0
0.575,25215.0
0.58,25273.0
0.585,25333.0
0.59,25394.0
0.595,25456.0
0.6,25545.0
0.605,22507.0
0.61,9254.1
0.615,8111.1
0.62,12019.0
0.625,19209.0
0.63,19890.0
0.635,17746.0
0.64,12707.0
0.645,11951.0
0.65,17331.0
0.655,19506.0
0.66,20198.0
0.665,18715.0
0.67,16779.0
0.675,17718.0
0.68,20376.0
0.685,21672.0
0.69,21508.0
0.695,21071.0
0.7,20977.0
0.705,21252.0
0.71,21835.0
0.715,22323.0
0.72,22534.0
0.725,22677.0
0.73,22841.0
0.735,23074.0
0.74,23367.0
0.745,23661.0
0.75,23948.0
0.755,24051.0
0.76,23516.0
0.765,23345.0
0.77,23871.0
0.775,24310.0
0.78,23306.0
0.785,23091.0
0.79,23302.0
0.795,23346.0
0.8,23741.0
0.805,24103.0
0.81,24219.0
0.815,24230.0
0.82,24270.0
0.825,24425.0
0.83,24608.0
0.835,24043.0
0.84,23844.0
0.845,24250.0
0.85,24679.0
0.855,24884.0
0.86,25305.0
0.865,25529.0
0.87,25061.0
0.875,24886.0
0.88,25146.0
0.885,25398.0
0.89,25525.0
0.895,25523.0
0.9,25514.0
0.905,22014.0
0.91,9536.9
0.915,7032.2
0.92,11905.0
0.925,18672.0
0.93,19614.0
0.935,17321.0
0.94,13059.0
0.945,12548.0
0.95,16896.0
0.955,19483.0
0.96,19747.0
0.965,18521.0
0.97,17383.0
0.975,18009.0
0.98,19547.0
0.985,20811.0
0.99,20504.0
0.995,19202.0
1.0,18734.0
