Time_s,Tricuspid_Total_Stress_X_N_per_m
0.0,0.87649
0.005,-0.45343
0.01,-0.54083
0.015,-0.61842
0.02,-0.28156
0.025,0.012283
0.03,0.076715
0.035,0.038588
0.04,-0.037028
0.045,-0.041805
0.05,-0.023303
0.055,0.0012968
0.06,0.01454
0.065,0.0075622
0.07,-0.008034
0.075,0.013251
0.08,-0.025873
0.085,-0.018529
0.09,-0.0036391
0.095,0.0029328
0.1,0.0058514
0.105,6.2527e-05
0.11,-0.012322
0.115,-0.014797
0.12,0.00020086
0.125,0.0066238
0.13,0.0020972
0.135,-0.0034413
0.14,-0.0056209
0.145,-0.0041961
0.15,-0.039933
0.155,-0.017878
0.16,0.014302
0.165,0.021653
0.17,0.006752
0.175,-0.011033
0.18,-0.017037
0.185,-0.0094154
0.19,0.0042246
0.195,0.0094137
0.2,0.0034387
0.205,-0.0065582
0.21,-0.0082541
0.215,-0.0042014
0.22,-0.00034476
0.225,0.0021854
0.23,-6.3415e-05
0.235,-0.0055313
0.24,-0.0050461
0.245,-0.0023136
0.25,0.00063372
0.255,0.0013734
0.26,-0.00061523
0.265,-0.0022738
0.27,-0.0023462
0.275,-0.0017472
0.28,-0.0012282
0.285,-0.001069
0.29,-0.0010723
0.295,-0.0011527
0.3,-0.085006
0.305,-0.4138
0.31,-0.13178
0.315,0.2431
0.32,-0.17952
0.325,-0.18634
0.33,-0.40995
0.335,-0.47831
0.34,-0.043838
0.345,0.10763
0.35,-0.016451
0.355,-0.094082
0.36,-0.11286
0.365,-0.061422
0.37,0.0044013
0.375,0.047931
0.38,-0.024103
0.385,-0.043906
0.39,-0.030215
0.395,-0.002023
0.4,0.016469
0.405,0.01187
0.41,-0.0088949
0.415,-0.021184
0.42,-0.010083
0.425,0.002254
0.43,0.0033371
0.435,-0.0008115
0.44,-0.0043597
0.445,-0.0041278
0.45,-0.040507
0.455,-0.016878
0.46,0.019698
0.465,0.027135
0.47,0.0056841
0.475,-0.011566
0.48,-0.013479
0.485,-0.0067049
0.49,0.0020111
0.495,0.0037068
0.5,0.00072527
0.505,-0.0021665
0.51,-0.0032962
0.515,-0.0023801
0.52,-0.00070702
0.525,0.0015557
0.53,-0.00047473
0.535,-0.0038268
0.54,-0.0033036
0.545,-0.0014888
0.55,0.00049419
0.555,0.0010814
0.56,-8.2023e-05
0.565,-0.0012823
0.57,-0.0017415
0.575,-0.001253
0.58,-0.00058932
0.585,-0.00034477
0.59,-0.00040707
0.595,-0.00047049
0.6,-0.084382
0.605,-0.4027
0.61,-0.12718
0.615,0.24453
0.62,-0.22884
0.625,-0.15559
0.63,-0.47474
0.635,-0.63024
0.64,-0.20847
0.645,0.2147
0.65,-0.13371
0.655,-0.21533
0.66,-0.26442
0.665,-0.21874
0.67,0.1207
0.675,0.12601
0.68,-0.067722
0.685,-0.11537
0.69,-0.0694
0.695,-0.001365
0.7,0.037312
0.705,0.019762
0.71,-0.015019
0.715,-0.027508
0.72,-0.011593
0.725,0.0026532
0.73,0.0049415
0.735,-0.00023747
0.74,-0.0043858
0.745,-0.0040629
0.75,-0.0024351
0.755,-0.013443
0.76,0.0012214
0.765,0.010575
0.77,0.0036227
0.775,-0.047469
0.78,-0.0013845
0.785,0.019294
0.79,0.02129
0.795,0.0076421
0.8,-0.0094292
0.805,-0.011617
0.81,-0.0041265
0.815,0.0037591
0.82,0.0053461
0.825,0.0016712
0.83,-0.017324
0.835,-0.0014165
0.84,0.010159
0.845,0.0052953
0.85,-0.0021403
0.855,0.0020657
0.86,-0.0069255
0.865,-0.01218
0.87,0.0014093
0.875,0.0071249
0.88,0.0017068
0.885,-0.0018344
0.89,-0.0027325
0.895,-0.0018983
0.9,-0.063753
0.905,-0.40792
0.91,-0.11234
0.915,0.26046
0.92,-0.2293
0.925,-0.21055
0.93,-0.4381
0.935,-0.51529
0.94,-0.045892
0.945,0.1798
0.95,-0.073843
0.955,-0.21075
0.96,-0.20943
0.965,-0.082299
0.97,0.078427
0.975,0.093661
0.98,-0.0082646
0.985,-0.087155
0.99,-0.083946
0.995,-0.0089181
1.0,0.042374
